Country or Area,Item,Year,Value
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2000,1.8
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2001,1.8
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2002,1.9
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2003,1.9
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2004,1.9
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2005,1.8
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2006,1.8
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2007,1.8
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2008,2.0
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2009,2.0
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2010,1.9
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2011,1.7
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2012,1.7
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2013,1.7
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2014,1.7
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2015,1.7
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2016,1.7
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2017,1.6
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2018,1.5
South Africa,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2019,1.5
