Country or Area,Item,Year,Value
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2000,2.3
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2001,2.3
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2002,2.4
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2003,2.4
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2004,2.3
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2005,2.3
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2006,2.3
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2007,2.3
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2008,2.4
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2009,2.4
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2010,2.2
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2011,2.0
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2012,2.1
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2013,2.1
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2014,2.1
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2015,2.1
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2016,2.0
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2017,2.0
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2018,1.9
South Africa,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2019,1.8
