Country or Area,Item,Year,Value
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1985,50.9
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1986,49.0
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1987,47.4
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1988,45.9
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1989,44.5
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1990,43.5
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1991,42.7
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1992,42.2
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1993,42.0
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1994,42.0
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1995,42.2
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1996,42.7
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1997,43.6
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1998,44.1
South Africa,"Mortality rate, infant, female (per 1,000 live births)",1999,44.6
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2000,45.7
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2001,46.1
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2002,46.6
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2003,46.6
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2004,46.5
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2005,46.8
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2006,46.1
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2007,44.5
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2008,41.2
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2009,37.4
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2010,33.3
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2011,31.1
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2012,29.7
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2013,28.9
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2014,28.2
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2015,27.6
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2016,27.2
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2017,26.7
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2018,26.3
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2019,26.1
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2020,25.9
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2021,25.7
South Africa,"Mortality rate, infant, female (per 1,000 live births)",2022,25.5
