Country or Area,Item,Year,Value
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1985,60.9
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1986,58.7
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1987,56.7
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1988,54.9
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1989,53.3
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1990,52.0
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1991,50.9
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1992,50.2
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1993,49.7
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1994,49.5
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1995,49.6
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1996,49.9
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1997,50.6
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1998,50.9
South Africa,"Mortality rate, infant, male (per 1,000 live births)",1999,51.2
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2000,52.1
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2001,52.5
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2002,52.8
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2003,52.6
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2004,52.5
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2005,52.8
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2006,52.0
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2007,50.3
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2008,46.7
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2009,42.6
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2010,38.0
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2011,35.6
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2012,34.1
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2013,33.3
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2014,32.5
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2015,31.8
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2016,31.4
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2017,31.0
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2018,30.6
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2019,30.3
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2020,30.1
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2021,29.9
South Africa,"Mortality rate, infant, male (per 1,000 live births)",2022,29.8
