Country or Area,Item,Year,Value
South Africa,"Mortality rate, infant (per 1,000 live births)",1985,56.0
South Africa,"Mortality rate, infant (per 1,000 live births)",1986,54.0
South Africa,"Mortality rate, infant (per 1,000 live births)",1987,52.2
South Africa,"Mortality rate, infant (per 1,000 live births)",1988,50.5
South Africa,"Mortality rate, infant (per 1,000 live births)",1989,49.1
South Africa,"Mortality rate, infant (per 1,000 live births)",1990,47.9
South Africa,"Mortality rate, infant (per 1,000 live births)",1991,46.9
South Africa,"Mortality rate, infant (per 1,000 live births)",1992,46.3
South Africa,"Mortality rate, infant (per 1,000 live births)",1993,45.9
South Africa,"Mortality rate, infant (per 1,000 live births)",1994,45.9
South Africa,"Mortality rate, infant (per 1,000 live births)",1995,46.0
South Africa,"Mortality rate, infant (per 1,000 live births)",1996,46.4
South Africa,"Mortality rate, infant (per 1,000 live births)",1997,47.2
South Africa,"Mortality rate, infant (per 1,000 live births)",1998,47.6
South Africa,"Mortality rate, infant (per 1,000 live births)",1999,48.0
South Africa,"Mortality rate, infant (per 1,000 live births)",2000,49.0
South Africa,"Mortality rate, infant (per 1,000 live births)",2001,49.4
South Africa,"Mortality rate, infant (per 1,000 live births)",2002,49.8
South Africa,"Mortality rate, infant (per 1,000 live births)",2003,49.7
South Africa,"Mortality rate, infant (per 1,000 live births)",2004,49.6
South Africa,"Mortality rate, infant (per 1,000 live births)",2005,49.9
South Africa,"Mortality rate, infant (per 1,000 live births)",2006,49.1
South Africa,"Mortality rate, infant (per 1,000 live births)",2007,47.5
South Africa,"Mortality rate, infant (per 1,000 live births)",2008,44.0
South Africa,"Mortality rate, infant (per 1,000 live births)",2009,40.0
South Africa,"Mortality rate, infant (per 1,000 live births)",2010,35.7
South Africa,"Mortality rate, infant (per 1,000 live births)",2011,33.4
South Africa,"Mortality rate, infant (per 1,000 live births)",2012,32.0
South Africa,"Mortality rate, infant (per 1,000 live births)",2013,31.1
South Africa,"Mortality rate, infant (per 1,000 live births)",2014,30.4
South Africa,"Mortality rate, infant (per 1,000 live births)",2015,29.8
South Africa,"Mortality rate, infant (per 1,000 live births)",2016,29.4
South Africa,"Mortality rate, infant (per 1,000 live births)",2017,28.9
South Africa,"Mortality rate, infant (per 1,000 live births)",2018,28.5
South Africa,"Mortality rate, infant (per 1,000 live births)",2019,28.2
South Africa,"Mortality rate, infant (per 1,000 live births)",2020,28.1
South Africa,"Mortality rate, infant (per 1,000 live births)",2021,27.8
South Africa,"Mortality rate, infant (per 1,000 live births)",2022,27.7
