Country or Area,Item,Year,Value
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1985,24.3
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1986,23.7
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1987,23.2
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1988,22.8
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1989,22.3
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1990,22.0
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1991,21.6
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1992,21.4
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1993,21.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1994,20.8
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1995,20.4
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1996,19.9
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1997,19.3
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1998,18.7
South Africa,"Mortality rate, neonatal (per 1,000 live births)",1999,18.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2000,17.5
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2001,16.9
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2002,16.3
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2003,15.7
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2004,15.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2005,14.6
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2006,14.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2007,13.6
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2008,13.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2009,12.6
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2010,12.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2011,11.7
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2012,11.3
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2013,11.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2014,11.0
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2015,11.0
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2016,11.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2017,11.2
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2018,11.2
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2019,11.2
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2020,11.2
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2021,11.1
South Africa,"Mortality rate, neonatal (per 1,000 live births)",2022,11.0
