Country or Area,Item,Year,Value
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1985,69.1
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1986,66.2
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1987,63.4
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1988,60.9
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1989,58.9
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1990,57.2
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1991,56.0
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1992,55.4
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1993,55.3
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1994,55.8
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1995,56.8
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1996,58.3
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1997,60.2
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1998,62.3
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",1999,64.4
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2000,67.0
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2001,69.2
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2002,71.1
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2003,72.3
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2004,73.5
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2005,75.0
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2006,74.8
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2007,70.7
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2008,64.3
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2009,56.6
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2010,48.4
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2011,42.6
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2012,38.8
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2013,37.0
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2014,35.8
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2015,35.0
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2016,34.4
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2017,33.8
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2018,33.3
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2019,32.9
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2020,32.5
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2021,32.0
South Africa,"Mortality rate, under-5, female (per 1,000 live births)",2022,31.8
