Country or Area,Item,Year,Value
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1985,80.5
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1986,77.2
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1987,74.2
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1988,71.4
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1989,69.1
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1990,67.2
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1991,65.7
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1992,64.8
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1993,64.5
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1994,64.8
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1995,65.6
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1996,66.9
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1997,68.8
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1998,70.6
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",1999,72.5
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2000,74.9
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2001,77.1
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2002,78.9
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2003,80.1
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2004,81.2
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2005,82.7
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2006,82.4
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2007,78.1
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2008,71.4
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2009,63.3
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2010,54.6
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2011,48.4
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2012,44.4
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2013,42.5
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2014,41.3
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2015,40.5
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2016,39.8
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2017,39.2
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2018,38.7
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2019,38.1
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2020,37.9
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2021,37.3
South Africa,"Mortality rate, under-5, male (per 1,000 live births)",2022,37.2
