Country or Area,Item,Year,Value
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1985,75.0
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1986,71.8
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1987,68.9
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1988,66.3
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1989,64.1
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1990,62.3
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1991,61.0
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1992,60.2
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1993,60.0
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1994,60.4
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1995,61.3
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1996,62.7
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1997,64.6
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1998,66.6
South Africa,"Mortality rate, under-5 (per 1,000 live births)",1999,68.6
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2000,71.0
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2001,73.2
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2002,75.1
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2003,76.3
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2004,77.5
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2005,79.0
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2006,78.7
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2007,74.5
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2008,67.9
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2009,60.0
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2010,51.6
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2011,45.5
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2012,41.7
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2013,39.8
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2014,38.6
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2015,37.8
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2016,37.2
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2017,36.6
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2018,36.1
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2019,35.6
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2020,35.3
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2021,34.7
South Africa,"Mortality rate, under-5 (per 1,000 live births)",2022,34.5
