Country or Area,Item,Year,Value
South Africa,Number of deaths ages 10-14 years,1990,1686.0
South Africa,Number of deaths ages 10-14 years,1991,1920.0
South Africa,Number of deaths ages 10-14 years,1992,2184.0
South Africa,Number of deaths ages 10-14 years,1993,2454.0
South Africa,Number of deaths ages 10-14 years,1994,2718.0
South Africa,Number of deaths ages 10-14 years,1995,2971.0
South Africa,Number of deaths ages 10-14 years,1996,3241.0
South Africa,Number of deaths ages 10-14 years,1997,3539.0
South Africa,Number of deaths ages 10-14 years,1998,3854.0
South Africa,Number of deaths ages 10-14 years,1999,4191.0
South Africa,Number of deaths ages 10-14 years,2000,4521.0
South Africa,Number of deaths ages 10-14 years,2001,4837.0
South Africa,Number of deaths ages 10-14 years,2002,5128.0
South Africa,Number of deaths ages 10-14 years,2003,5385.0
South Africa,Number of deaths ages 10-14 years,2004,5584.0
South Africa,Number of deaths ages 10-14 years,2005,5731.0
South Africa,Number of deaths ages 10-14 years,2006,5745.0
South Africa,Number of deaths ages 10-14 years,2007,5605.0
South Africa,Number of deaths ages 10-14 years,2008,5353.0
South Africa,Number of deaths ages 10-14 years,2009,5042.0
South Africa,Number of deaths ages 10-14 years,2010,4689.0
South Africa,Number of deaths ages 10-14 years,2011,4319.0
South Africa,Number of deaths ages 10-14 years,2012,3978.0
South Africa,Number of deaths ages 10-14 years,2013,3689.0
South Africa,Number of deaths ages 10-14 years,2014,3461.0
South Africa,Number of deaths ages 10-14 years,2015,3306.0
South Africa,Number of deaths ages 10-14 years,2016,3233.0
South Africa,Number of deaths ages 10-14 years,2017,3205.0
South Africa,Number of deaths ages 10-14 years,2018,3263.0
South Africa,Number of deaths ages 10-14 years,2019,3345.0
South Africa,Number of deaths ages 10-14 years,2020,3419.0
South Africa,Number of deaths ages 10-14 years,2021,3504.0
South Africa,Number of deaths ages 10-14 years,2022,3593.0
