Country or Area,Item,Year,Value
South Africa,Number of deaths ages 15-19 years,1990,5908.0
South Africa,Number of deaths ages 15-19 years,1991,5665.0
South Africa,Number of deaths ages 15-19 years,1992,5479.0
South Africa,Number of deaths ages 15-19 years,1993,5597.0
South Africa,Number of deaths ages 15-19 years,1994,5964.0
South Africa,Number of deaths ages 15-19 years,1995,6552.0
South Africa,Number of deaths ages 15-19 years,1996,7314.0
South Africa,Number of deaths ages 15-19 years,1997,8140.0
South Africa,Number of deaths ages 15-19 years,1998,8890.0
South Africa,Number of deaths ages 15-19 years,1999,9583.0
South Africa,Number of deaths ages 15-19 years,2000,10222.0
South Africa,Number of deaths ages 15-19 years,2001,10834.0
South Africa,Number of deaths ages 15-19 years,2002,11421.0
South Africa,Number of deaths ages 15-19 years,2003,11894.0
South Africa,Number of deaths ages 15-19 years,2004,12190.0
South Africa,Number of deaths ages 15-19 years,2005,12215.0
South Africa,Number of deaths ages 15-19 years,2006,11965.0
South Africa,Number of deaths ages 15-19 years,2007,11486.0
South Africa,Number of deaths ages 15-19 years,2008,10878.0
South Africa,Number of deaths ages 15-19 years,2009,10233.0
South Africa,Number of deaths ages 15-19 years,2010,9641.0
South Africa,Number of deaths ages 15-19 years,2011,9115.0
South Africa,Number of deaths ages 15-19 years,2012,8611.0
South Africa,Number of deaths ages 15-19 years,2013,8159.0
South Africa,Number of deaths ages 15-19 years,2014,7781.0
South Africa,Number of deaths ages 15-19 years,2015,7464.0
South Africa,Number of deaths ages 15-19 years,2016,7242.0
South Africa,Number of deaths ages 15-19 years,2017,6862.0
South Africa,Number of deaths ages 15-19 years,2018,6744.0
South Africa,Number of deaths ages 15-19 years,2019,6755.0
South Africa,Number of deaths ages 15-19 years,2020,6899.0
South Africa,Number of deaths ages 15-19 years,2021,7173.0
South Africa,Number of deaths ages 15-19 years,2022,7521.0
