Country or Area,Item,Year,Value
South Africa,Number of infant deaths,1985,65435.0
South Africa,Number of infant deaths,1986,66234.0
South Africa,Number of infant deaths,1987,66533.0
South Africa,Number of infant deaths,1988,65184.0
South Africa,Number of infant deaths,1989,62827.0
South Africa,Number of infant deaths,1990,59806.0
South Africa,Number of infant deaths,1991,57462.0
South Africa,Number of infant deaths,1992,55812.0
South Africa,Number of infant deaths,1993,54369.0
South Africa,Number of infant deaths,1994,53643.0
South Africa,Number of infant deaths,1995,53316.0
South Africa,Number of infant deaths,1996,52709.0
South Africa,Number of infant deaths,1997,51002.0
South Africa,Number of infant deaths,1998,49136.0
South Africa,Number of infant deaths,1999,48601.0
South Africa,Number of infant deaths,2000,48154.0
South Africa,Number of infant deaths,2001,47333.0
South Africa,Number of infant deaths,2002,47356.0
South Africa,Number of infant deaths,2003,47812.0
South Africa,Number of infant deaths,2004,49586.0
South Africa,Number of infant deaths,2005,52115.0
South Africa,Number of infant deaths,2006,53253.0
South Africa,Number of infant deaths,2007,52786.0
South Africa,Number of infant deaths,2008,51348.0
South Africa,Number of infant deaths,2009,47199.0
South Africa,Number of infant deaths,2010,40991.0
South Africa,Number of infant deaths,2011,38509.0
South Africa,Number of infant deaths,2012,37432.0
South Africa,Number of infant deaths,2013,36868.0
South Africa,Number of infant deaths,2014,36283.0
South Africa,Number of infant deaths,2015,35334.0
South Africa,Number of infant deaths,2016,34095.0
South Africa,Number of infant deaths,2017,33369.0
South Africa,Number of infant deaths,2018,33797.0
South Africa,Number of infant deaths,2019,34398.0
South Africa,Number of infant deaths,2020,33943.0
South Africa,Number of infant deaths,2021,32846.0
South Africa,Number of infant deaths,2022,32164.0
