Country or Area,Item,Year,Value
South Africa,Number of maternal deaths,2000,1700.0
South Africa,Number of maternal deaths,2001,1600.0
South Africa,Number of maternal deaths,2002,1800.0
South Africa,Number of maternal deaths,2003,2000.0
South Africa,Number of maternal deaths,2004,2400.0
South Africa,Number of maternal deaths,2005,2400.0
South Africa,Number of maternal deaths,2006,2300.0
South Africa,Number of maternal deaths,2007,2500.0
South Africa,Number of maternal deaths,2008,2600.0
South Africa,Number of maternal deaths,2009,2600.0
South Africa,Number of maternal deaths,2010,2500.0
South Africa,Number of maternal deaths,2011,2300.0
South Africa,Number of maternal deaths,2012,2000.0
South Africa,Number of maternal deaths,2013,1800.0
South Africa,Number of maternal deaths,2014,1700.0
South Africa,Number of maternal deaths,2015,1700.0
South Africa,Number of maternal deaths,2016,1500.0
South Africa,Number of maternal deaths,2017,1600.0
South Africa,Number of maternal deaths,2018,1500.0
South Africa,Number of maternal deaths,2019,1500.0
South Africa,Number of maternal deaths,2020,1500.0
