Country or Area,Item,Year,Value
South Africa,"Prevalence of HIV, female (% ages 15-24)",1990,1.5
South Africa,"Prevalence of HIV, female (% ages 15-24)",1991,2.4
South Africa,"Prevalence of HIV, female (% ages 15-24)",1992,3.7
South Africa,"Prevalence of HIV, female (% ages 15-24)",1993,5.3
South Africa,"Prevalence of HIV, female (% ages 15-24)",1994,7.3
South Africa,"Prevalence of HIV, female (% ages 15-24)",1995,9.3
South Africa,"Prevalence of HIV, female (% ages 15-24)",1996,11.4
South Africa,"Prevalence of HIV, female (% ages 15-24)",1997,13.2
South Africa,"Prevalence of HIV, female (% ages 15-24)",1998,14.8
South Africa,"Prevalence of HIV, female (% ages 15-24)",1999,16.0
South Africa,"Prevalence of HIV, female (% ages 15-24)",2000,16.8
South Africa,"Prevalence of HIV, female (% ages 15-24)",2001,17.2
South Africa,"Prevalence of HIV, female (% ages 15-24)",2002,17.4
South Africa,"Prevalence of HIV, female (% ages 15-24)",2003,17.3
South Africa,"Prevalence of HIV, female (% ages 15-24)",2004,17.0
South Africa,"Prevalence of HIV, female (% ages 15-24)",2005,16.6
South Africa,"Prevalence of HIV, female (% ages 15-24)",2006,16.1
South Africa,"Prevalence of HIV, female (% ages 15-24)",2007,15.6
South Africa,"Prevalence of HIV, female (% ages 15-24)",2008,15.1
South Africa,"Prevalence of HIV, female (% ages 15-24)",2009,14.6
South Africa,"Prevalence of HIV, female (% ages 15-24)",2010,14.1
South Africa,"Prevalence of HIV, female (% ages 15-24)",2011,13.7
South Africa,"Prevalence of HIV, female (% ages 15-24)",2012,13.2
South Africa,"Prevalence of HIV, female (% ages 15-24)",2013,12.8
South Africa,"Prevalence of HIV, female (% ages 15-24)",2014,12.5
South Africa,"Prevalence of HIV, female (% ages 15-24)",2015,12.1
South Africa,"Prevalence of HIV, female (% ages 15-24)",2016,11.7
South Africa,"Prevalence of HIV, female (% ages 15-24)",2017,11.3
South Africa,"Prevalence of HIV, female (% ages 15-24)",2018,10.8
South Africa,"Prevalence of HIV, female (% ages 15-24)",2019,10.3
South Africa,"Prevalence of HIV, female (% ages 15-24)",2020,9.8
South Africa,"Prevalence of HIV, female (% ages 15-24)",2021,9.2
South Africa,"Prevalence of HIV, female (% ages 15-24)",2022,8.7
