Country or Area,Item,Year,Value
South Africa,"Prevalence of HIV, male (% ages 15-24)",1990,0.5
South Africa,"Prevalence of HIV, male (% ages 15-24)",1991,0.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",1992,1.3
South Africa,"Prevalence of HIV, male (% ages 15-24)",1993,1.9
South Africa,"Prevalence of HIV, male (% ages 15-24)",1994,2.6
South Africa,"Prevalence of HIV, male (% ages 15-24)",1995,3.4
South Africa,"Prevalence of HIV, male (% ages 15-24)",1996,4.2
South Africa,"Prevalence of HIV, male (% ages 15-24)",1997,4.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",1998,5.3
South Africa,"Prevalence of HIV, male (% ages 15-24)",1999,5.6
South Africa,"Prevalence of HIV, male (% ages 15-24)",2000,5.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",2001,5.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",2002,5.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",2003,5.7
South Africa,"Prevalence of HIV, male (% ages 15-24)",2004,5.6
South Africa,"Prevalence of HIV, male (% ages 15-24)",2005,5.4
South Africa,"Prevalence of HIV, male (% ages 15-24)",2006,5.2
South Africa,"Prevalence of HIV, male (% ages 15-24)",2007,5.0
South Africa,"Prevalence of HIV, male (% ages 15-24)",2008,4.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",2009,4.6
South Africa,"Prevalence of HIV, male (% ages 15-24)",2010,4.4
South Africa,"Prevalence of HIV, male (% ages 15-24)",2011,4.3
South Africa,"Prevalence of HIV, male (% ages 15-24)",2012,4.2
South Africa,"Prevalence of HIV, male (% ages 15-24)",2013,4.1
South Africa,"Prevalence of HIV, male (% ages 15-24)",2014,4.1
South Africa,"Prevalence of HIV, male (% ages 15-24)",2015,4.0
South Africa,"Prevalence of HIV, male (% ages 15-24)",2016,4.0
South Africa,"Prevalence of HIV, male (% ages 15-24)",2017,3.9
South Africa,"Prevalence of HIV, male (% ages 15-24)",2018,3.9
South Africa,"Prevalence of HIV, male (% ages 15-24)",2019,3.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",2020,3.8
South Africa,"Prevalence of HIV, male (% ages 15-24)",2021,3.7
South Africa,"Prevalence of HIV, male (% ages 15-24)",2022,3.6
