Country or Area,Item,Year,Value
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1990,1.3
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1991,2.1
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1992,3.0
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1993,4.2
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1994,5.5
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1995,6.9
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1996,8.3
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1997,9.7
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1998,11.0
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",1999,12.1
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2000,13.0
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2001,13.8
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2002,14.5
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2003,15.0
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2004,15.5
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2005,15.8
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2006,16.2
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2007,16.5
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2008,16.8
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2009,17.2
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2010,17.5
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2011,17.8
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2012,18.1
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2013,18.3
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2014,18.6
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2015,18.7
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2016,18.8
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2017,18.8
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2018,18.8
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2019,18.7
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2020,18.5
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2021,18.2
South Africa,"Prevalence of HIV, total (% of population ages 15-49)",2022,17.8
