Country or Area,Item,Year,Value
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2000,41.3
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2001,41.0
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2002,40.7
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2003,40.6
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2004,40.8
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2005,40.8
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2006,40.9
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2007,40.1
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2008,38.9
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2009,37.2
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2010,35.6
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2011,34.6
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2012,34.5
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2013,35.3
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2014,36.6
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2015,38.0
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2016,39.6
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2017,41.2
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2018,42.9
South Africa,Prevalence of anemia among children (% of children ages 6-59 months),2019,44.4
