Country or Area,Item,Year,Value
South Africa,Prevalence of anemia among pregnant women (%),2000,34.0
South Africa,Prevalence of anemia among pregnant women (%),2001,33.6
South Africa,Prevalence of anemia among pregnant women (%),2002,33.3
South Africa,Prevalence of anemia among pregnant women (%),2003,32.9
South Africa,Prevalence of anemia among pregnant women (%),2004,32.5
South Africa,Prevalence of anemia among pregnant women (%),2005,32.0
South Africa,Prevalence of anemia among pregnant women (%),2006,31.5
South Africa,Prevalence of anemia among pregnant women (%),2007,30.9
South Africa,Prevalence of anemia among pregnant women (%),2008,30.4
South Africa,Prevalence of anemia among pregnant women (%),2009,29.9
South Africa,Prevalence of anemia among pregnant women (%),2010,29.7
South Africa,Prevalence of anemia among pregnant women (%),2011,29.5
South Africa,Prevalence of anemia among pregnant women (%),2012,29.4
South Africa,Prevalence of anemia among pregnant women (%),2013,29.5
South Africa,Prevalence of anemia among pregnant women (%),2014,29.7
South Africa,Prevalence of anemia among pregnant women (%),2015,29.9
South Africa,Prevalence of anemia among pregnant women (%),2016,30.1
South Africa,Prevalence of anemia among pregnant women (%),2017,30.3
South Africa,Prevalence of anemia among pregnant women (%),2018,30.5
South Africa,Prevalence of anemia among pregnant women (%),2019,30.8
