Country or Area,Item,Year,Value
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2000,35.2
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2001,34.7
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2002,34.2
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2003,33.7
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2004,33.1
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2005,32.4
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2006,31.7
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2007,30.9
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2008,30.2
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2009,29.6
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2010,29.1
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2011,28.7
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2012,28.6
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2013,28.6
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2014,28.7
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2015,28.9
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2016,29.1
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2017,29.5
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2018,29.9
South Africa,Prevalence of anemia among women of reproductive age (% of women ages 15-49),2019,30.5
