Country or Area,Item,Year,Value
South Africa,"Intentional homicides (per 100,000 people)",1994,60.0097326009997
South Africa,"Intentional homicides (per 100,000 people)",1995,61.103416253195
South Africa,"Intentional homicides (per 100,000 people)",1996,57.0288525354895
South Africa,"Intentional homicides (per 100,000 people)",1997,54.070826489233
South Africa,"Intentional homicides (per 100,000 people)",1998,54.8000278242032
South Africa,"Intentional homicides (per 100,000 people)",1999,48.752626500842
South Africa,"Intentional homicides (per 100,000 people)",2000,46.4782786836351
South Africa,"Intentional homicides (per 100,000 people)",2001,45.3210451369661
South Africa,"Intentional homicides (per 100,000 people)",2002,45.2209717339133
South Africa,"Intentional homicides (per 100,000 people)",2003,41.2106685781343
South Africa,"Intentional homicides (per 100,000 people)",2004,38.7037081315743
South Africa,"Intentional homicides (per 100,000 people)",2005,37.7990171704708
South Africa,"Intentional homicides (per 100,000 people)",2006,38.6044091868553
South Africa,"Intentional homicides (per 100,000 people)",2007,36.8028746725407
South Africa,"Intentional homicides (per 100,000 people)",2008,35.7632939821079
South Africa,"Intentional homicides (per 100,000 people)",2009,32.7667476002271
South Africa,"Intentional homicides (per 100,000 people)",2010,30.6904008727714
South Africa,"Intentional homicides (per 100,000 people)",2011,29.6586836393508
South Africa,"Intentional homicides (per 100,000 people)",2012,30.5070842650526
South Africa,"Intentional homicides (per 100,000 people)",2013,31.5980275019965
South Africa,"Intentional homicides (per 100,000 people)",2014,32.5326988339444
South Africa,"Intentional homicides (per 100,000 people)",2015,33.4183398445973
South Africa,"Intentional homicides (per 100,000 people)",2016,33.7030020599932
South Africa,"Intentional homicides (per 100,000 people)",2017,35.9031881195969
South Africa,"Intentional homicides (per 100,000 people)",2018,36.6622494196205
South Africa,"Intentional homicides (per 100,000 people)",2019,36.7121383585379
South Africa,"Intentional homicides (per 100,000 people)",2020,33.9648735828409
South Africa,"Intentional homicides (per 100,000 people)",2021,41.8657281155598
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2008,3500
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2009,20000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2010,6000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2011,52000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2012,2000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2013,18000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2014,3500
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2015,14
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2016,12000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2017,15000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2018,2100
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2019,5100
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2020,370
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2021,10000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2022,62000
South Africa,"Internally displaced persons, new displacement associated with disasters (number of cases)",2023,20000
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",1996,86
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",1998,87.0646743774414
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2000,80.5970153808594
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2002,73.1343307495117
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2003,75.1243743896484
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2004,80.288459777832
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2005,73.0769195556641
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2006,73.5576934814453
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2007,71.1538467407227
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2008,70.6730804443359
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2009,70.1421813964844
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2010,70.6161117553711
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2011,69.9530487060547
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2012,70.8920211791992
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2013,71.3615036010742
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2014,71.9211807250977
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2015,73.8916244506836
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2016,73.8916244506836
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2017,73.8916244506836
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2018,74.7572784423828
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2019,73.4299545288086
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2020,74.8792266845703
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2021,78.7439651489258
South Africa,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",2022,75.3623199462891
South Africa,Voice and Accountability: Estimate,1996,0.841138541698456
South Africa,Voice and Accountability: Estimate,1998,0.846977770328522
South Africa,Voice and Accountability: Estimate,2000,0.746240437030792
South Africa,Voice and Accountability: Estimate,2002,0.659822225570679
South Africa,Voice and Accountability: Estimate,2003,0.700217008590698
South Africa,Voice and Accountability: Estimate,2004,0.715736925601959
South Africa,Voice and Accountability: Estimate,2005,0.649010360240936
South Africa,Voice and Accountability: Estimate,2006,0.651613116264343
South Africa,Voice and Accountability: Estimate,2007,0.578765213489532
South Africa,Voice and Accountability: Estimate,2008,0.575648128986359
South Africa,Voice and Accountability: Estimate,2009,0.570525586605072
South Africa,Voice and Accountability: Estimate,2010,0.602090120315552
South Africa,Voice and Accountability: Estimate,2011,0.590838611125946
South Africa,Voice and Accountability: Estimate,2012,0.5821533203125
South Africa,Voice and Accountability: Estimate,2013,0.600703418254852
South Africa,Voice and Accountability: Estimate,2014,0.64037412405014
South Africa,Voice and Accountability: Estimate,2015,0.648585200309753
South Africa,Voice and Accountability: Estimate,2016,0.648347198963165
South Africa,Voice and Accountability: Estimate,2017,0.630477786064148
South Africa,Voice and Accountability: Estimate,2018,0.637540757656097
South Africa,Voice and Accountability: Estimate,2019,0.642934679985046
South Africa,Voice and Accountability: Estimate,2020,0.688375115394592
South Africa,Voice and Accountability: Estimate,2021,0.770391166210175
South Africa,Voice and Accountability: Estimate,2022,0.707014203071594
South Africa,High-technology exports (current US$),2007,1932918417
South Africa,High-technology exports (current US$),2008,2087704760
South Africa,High-technology exports (current US$),2009,1482818276
South Africa,High-technology exports (current US$),2010,2504733101
South Africa,High-technology exports (current US$),2011,2743376672
South Africa,High-technology exports (current US$),2012,2860653042
South Africa,High-technology exports (current US$),2013,2613566643
South Africa,High-technology exports (current US$),2014,2806863732
South Africa,High-technology exports (current US$),2015,2818226377
South Africa,High-technology exports (current US$),2016,2397477040
South Africa,High-technology exports (current US$),2017,2197945701
South Africa,High-technology exports (current US$),2018,2091401860
South Africa,High-technology exports (current US$),2019,1832830758
South Africa,High-technology exports (current US$),2020,1835041126
South Africa,High-technology exports (current US$),2021,2418168759
South Africa,High-technology exports (current US$),2022,2475526790
South Africa,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),1985,4.07900887356855
South Africa,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),1986,3.62183872860076
