Country or Area,Item,Year,Value
South Africa,Consumer price index (2010 = 100),1985,12.4734887846357
South Africa,Consumer price index (2010 = 100),1986,14.8004080046914
South Africa,Consumer price index (2010 = 100),1987,17.1922399941358
South Africa,Consumer price index (2010 = 100),1988,19.3893300102624
South Africa,Consumer price index (2010 = 100),1989,22.2455563700337
South Africa,Consumer price index (2010 = 100),1990,25.4313326491717
South Africa,Consumer price index (2010 = 100),1991,29.331177246738
South Africa,Consumer price index (2010 = 100),1992,33.4007843424718
South Africa,Consumer price index (2010 = 100),1993,36.6464946488785
South Africa,Consumer price index (2010 = 100),1994,39.9221507110395
South Africa,Consumer price index (2010 = 100),1995,43.3875707374286
South Africa,Consumer price index (2010 = 100),1996,46.5783418853541
South Africa,Consumer price index (2010 = 100),1997,50.5830464741241
South Africa,Consumer price index (2010 = 100),1998,54.0634364462689
South Africa,Consumer price index (2010 = 100),1999,56.8647295118018
South Africa,Consumer price index (2010 = 100),2000,59.9007095733763
South Africa,Consumer price index (2010 = 100),2001,63.3161882421932
South Africa,Consumer price index (2010 = 100),2002,69.3278771441138
South Africa,Consumer price index (2010 = 100),2003,73.2652968772907
South Africa,Consumer price index (2010 = 100),2004,72.7582788447442
South Africa,Consumer price index (2010 = 100),2005,74.2591702096467
South Africa,Consumer price index (2010 = 100),2006,76.6680691980649
South Africa,Consumer price index (2010 = 100),2007,81.4044744172409
South Africa,Consumer price index (2010 = 100),2008,89.6056296730685
South Africa,Consumer price index (2010 = 100),2009,96.0709573376339
South Africa,Consumer price index (2010 = 100),2010,100.0
South Africa,Consumer price index (2010 = 100),2011,104.999266969653
South Africa,Consumer price index (2010 = 100),2012,111.010115818795
South Africa,Consumer price index (2010 = 100),2013,117.431461662513
South Africa,Consumer price index (2010 = 100),2014,124.629819674535
South Africa,Consumer price index (2010 = 100),2015,130.288813956898
South Africa,Consumer price index (2010 = 100),2016,138.850608415188
South Africa,Consumer price index (2010 = 100),2017,146.04896642721
South Africa,Consumer price index (2010 = 100),2018,152.646239554318
South Africa,Consumer price index (2010 = 100),2019,158.935639935493
South Africa,Consumer price index (2010 = 100),2020,164.03753115379
South Africa,Consumer price index (2010 = 100),2021,171.60240433954
South Africa,Consumer price index (2010 = 100),2022,183.682744465621
