Country or Area,Item,Year,Value
South Africa,"Inflation, GDP deflator (annual %)",1985,16.1443312605572
South Africa,"Inflation, GDP deflator (annual %)",1986,16.656865772349
South Africa,"Inflation, GDP deflator (annual %)",1987,14.8480301619174
South Africa,"Inflation, GDP deflator (annual %)",1988,15.4208324168045
South Africa,"Inflation, GDP deflator (annual %)",1989,17.0816612788057
South Africa,"Inflation, GDP deflator (annual %)",1990,15.4454404639221
South Africa,"Inflation, GDP deflator (annual %)",1991,15.6545219222237
South Africa,"Inflation, GDP deflator (annual %)",1992,14.7140252811412
South Africa,"Inflation, GDP deflator (annual %)",1993,13.3642582610797
South Africa,"Inflation, GDP deflator (annual %)",1994,9.81218708489008
South Africa,"Inflation, GDP deflator (annual %)",1995,10.8383194557783
South Africa,"Inflation, GDP deflator (annual %)",1996,8.02208799242219
South Africa,"Inflation, GDP deflator (annual %)",1997,8.13743291858027
South Africa,"Inflation, GDP deflator (annual %)",1998,8.07573837316775
South Africa,"Inflation, GDP deflator (annual %)",1999,6.88883410122743
South Africa,"Inflation, GDP deflator (annual %)",2000,9.18219141567356
South Africa,"Inflation, GDP deflator (annual %)",2001,7.80047496305909
South Africa,"Inflation, GDP deflator (annual %)",2002,12.537957905723
South Africa,"Inflation, GDP deflator (annual %)",2003,6.39576358713289
South Africa,"Inflation, GDP deflator (annual %)",2004,6.042171590455
South Africa,"Inflation, GDP deflator (annual %)",2005,5.59700978064043
South Africa,"Inflation, GDP deflator (annual %)",2006,6.06463701450308
South Africa,"Inflation, GDP deflator (annual %)",2007,8.24576476611674
South Africa,"Inflation, GDP deflator (annual %)",2008,7.85033172851331
South Africa,"Inflation, GDP deflator (annual %)",2009,8.6630418315964
South Africa,"Inflation, GDP deflator (annual %)",2010,6.12843243160444
South Africa,"Inflation, GDP deflator (annual %)",2011,5.53905643151262
South Africa,"Inflation, GDP deflator (annual %)",2012,4.68520638813985
South Africa,"Inflation, GDP deflator (annual %)",2013,5.84411140067347
South Africa,"Inflation, GDP deflator (annual %)",2014,5.36654618468381
South Africa,"Inflation, GDP deflator (annual %)",2015,5.54552812339873
South Africa,"Inflation, GDP deflator (annual %)",2016,6.9521719608848
South Africa,"Inflation, GDP deflator (annual %)",2017,5.47332197549193
South Africa,"Inflation, GDP deflator (annual %)",2018,3.99329508557696
South Africa,"Inflation, GDP deflator (annual %)",2019,4.61352468937162
South Africa,"Inflation, GDP deflator (annual %)",2020,5.25956789710091
South Africa,"Inflation, GDP deflator (annual %)",2021,6.50012837673914
South Africa,"Inflation, GDP deflator (annual %)",2022,4.75948416264514
