Country or Area,Item,Year,Value
South Africa,"Inflation, consumer prices (annual %)",1985,16.2942269399101
South Africa,"Inflation, consumer prices (annual %)",1986,18.6549189263064
South Africa,"Inflation, consumer prices (annual %)",1987,16.1605814426616
South Africa,"Inflation, consumer prices (annual %)",1988,12.7795448229905
South Africa,"Inflation, consumer prices (annual %)",1989,14.730918284745
South Africa,"Inflation, consumer prices (annual %)",1990,14.320955727722
South Africa,"Inflation, consumer prices (annual %)",1991,15.334802353322
South Africa,"Inflation, consumer prices (annual %)",1992,13.8746803836056
South Africa,"Inflation, consumer prices (annual %)",1993,9.71746732988991
South Africa,"Inflation, consumer prices (annual %)",1994,8.93852493545717
South Africa,"Inflation, consumer prices (annual %)",1995,8.68044422624465
South Africa,"Inflation, consumer prices (annual %)",1996,7.35411338706952
South Africa,"Inflation, consumer prices (annual %)",1997,8.59778263173693
South Africa,"Inflation, consumer prices (annual %)",1998,6.88054637817278
South Africa,"Inflation, consumer prices (annual %)",1999,5.18149279747878
South Africa,"Inflation, consumer prices (annual %)",2000,5.33895102929212
South Africa,"Inflation, consumer prices (annual %)",2001,5.70190018305717
South Africa,"Inflation, consumer prices (annual %)",2002,9.4947107032486
South Africa,"Inflation, consumer prices (annual %)",2003,5.67941771099112
South Africa,"Inflation, consumer prices (annual %)",2004,-0.692030271024132
South Africa,"Inflation, consumer prices (annual %)",2005,2.06284616504634
South Africa,"Inflation, consumer prices (annual %)",2006,3.24390776468065
South Africa,"Inflation, consumer prices (annual %)",2007,6.17780683499409
South Africa,"Inflation, consumer prices (annual %)",2008,10.0745755249182
South Africa,"Inflation, consumer prices (annual %)",2009,7.21531413612566
South Africa,"Inflation, consumer prices (annual %)",2010,4.08972989470464
South Africa,"Inflation, consumer prices (annual %)",2011,4.9992669696526
South Africa,"Inflation, consumer prices (annual %)",2012,5.72465791678297
South Africa,"Inflation, consumer prices (annual %)",2013,5.78446909667201
South Africa,"Inflation, consumer prices (annual %)",2014,6.12983770287141
South Africa,"Inflation, consumer prices (annual %)",2015,4.54064227737906
South Africa,"Inflation, consumer prices (annual %)",2016,6.57139642173964
South Africa,"Inflation, consumer prices (annual %)",2017,5.18424664766128
South Africa,"Inflation, consumer prices (annual %)",2018,4.51716522786592
South Africa,"Inflation, consumer prices (annual %)",2019,4.12024587014984
South Africa,"Inflation, consumer prices (annual %)",2020,3.21003597454107
South Africa,"Inflation, consumer prices (annual %)",2021,4.61167217803206
South Africa,"Inflation, consumer prices (annual %)",2022,7.03972661255866
