Country or Area,Item,Year,Value
South Africa,"Foreign direct investment, net (BoP, current US$)",1985,500000438.445895
South Africa,"Foreign direct investment, net (BoP, current US$)",1986,121467409.701876
South Africa,"Foreign direct investment, net (BoP, current US$)",1987,303792686.65083
South Africa,"Foreign direct investment, net (BoP, current US$)",1988,-93871059.9258119
South Africa,"Foreign direct investment, net (BoP, current US$)",1989,363907985.45832
South Africa,"Foreign direct investment, net (BoP, current US$)",1990,103696633.380641
South Africa,"Foreign direct investment, net (BoP, current US$)",1991,-47695824.1595892
South Africa,"Foreign direct investment, net (BoP, current US$)",1992,1935669470.17098
South Africa,"Foreign direct investment, net (BoP, current US$)",1993,280623702.514129
South Africa,"Foreign direct investment, net (BoP, current US$)",1994,886096104.003103
South Africa,"Foreign direct investment, net (BoP, current US$)",1995,1245489078.61653
South Africa,"Foreign direct investment, net (BoP, current US$)",1996,231585202.261455
South Africa,"Foreign direct investment, net (BoP, current US$)",1997,-1486940324.83234
South Africa,"Foreign direct investment, net (BoP, current US$)",1998,1083666643.24806
South Africa,"Foreign direct investment, net (BoP, current US$)",1999,80850625.9940431
South Africa,"Foreign direct investment, net (BoP, current US$)",2000,-691652738.562767
South Africa,"Foreign direct investment, net (BoP, current US$)",2001,-10785077715.7128
South Africa,"Foreign direct investment, net (BoP, current US$)",2002,-1882067009.93899
South Africa,"Foreign direct investment, net (BoP, current US$)",2003,-230592460.043333
South Africa,"Foreign direct investment, net (BoP, current US$)",2004,604002318.590682
South Africa,"Foreign direct investment, net (BoP, current US$)",2005,-5612683802.59415
South Africa,"Foreign direct investment, net (BoP, current US$)",2006,5305504770.99522
South Africa,"Foreign direct investment, net (BoP, current US$)",2007,-3604679768.72682
South Africa,"Foreign direct investment, net (BoP, current US$)",2008,-12004584137.9272
South Africa,"Foreign direct investment, net (BoP, current US$)",2009,-6313190334.478
South Africa,"Foreign direct investment, net (BoP, current US$)",2010,-3854564952.41314
South Africa,"Foreign direct investment, net (BoP, current US$)",2011,-4292687424.33412
South Africa,"Foreign direct investment, net (BoP, current US$)",2012,-1727159492.43132
South Africa,"Foreign direct investment, net (BoP, current US$)",2013,-1712645458.10489
South Africa,"Foreign direct investment, net (BoP, current US$)",2014,1900417868.97786
South Africa,"Foreign direct investment, net (BoP, current US$)",2015,3993788900.72149
South Africa,"Foreign direct investment, net (BoP, current US$)",2016,2275171115.05217
South Africa,"Foreign direct investment, net (BoP, current US$)",2017,5390643572.87582
South Africa,"Foreign direct investment, net (BoP, current US$)",2018,-1542500842.23018
South Africa,"Foreign direct investment, net (BoP, current US$)",2019,-1975160486.06064
South Africa,"Foreign direct investment, net (BoP, current US$)",2020,-5089414842.71078
South Africa,"Foreign direct investment, net (BoP, current US$)",2021,-40557211850.6501
South Africa,"Foreign direct investment, net (BoP, current US$)",2022,-7039751056.11081
