Country or Area,Item,Year,Value
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1985,-452643658.30137
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1986,-50487073.695263
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1987,-191667969.848626
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1988,158437159.450014
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1989,-201208430.59616
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1990,-75722412.1197068
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1991,254133621.740141
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1992,3358018.17406729
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1993,11290546.0235309
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1994,374410441.074407
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1995,1248424932.7343
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1996,816389273.755429
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1997,3810543923.03317
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1998,550338595.971811
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",1999,1503332454.41012
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2000,968831355.959091
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2001,7270344986.4768
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2002,1479804588.75227
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2003,783136092.25814
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2004,701422007.629779
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2005,6522098178.18051
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2006,623291744.343521
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2007,6586792253.1097
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2008,9885001293.44358
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2009,7624489973.88189
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2010,3693271715.48139
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2011,4139289122.68737
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2012,4626029122.40007
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2013,8232518815.62083
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2014,5791659020.09998
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2015,1521139945.30532
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2016,2215307020.39541
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2017,2058579911.05235
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2018,5569462350.15205
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2019,5116098443.48715
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2020,3153552569.39325
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2021,40658789144.9382
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",2022,9194808415.59228
