Country or Area,Item,Year,Value
South Africa,"Foreign direct investment, net inflows (% of GDP)",1985,-0.702215388638934
South Africa,"Foreign direct investment, net inflows (% of GDP)",1986,-0.0688258892123962
South Africa,"Foreign direct investment, net inflows (% of GDP)",1987,-0.198546075632057
South Africa,"Foreign direct investment, net inflows (% of GDP)",1988,0.152377367726155
South Africa,"Foreign direct investment, net inflows (% of GDP)",1989,-0.186208198144161
South Africa,"Foreign direct investment, net inflows (% of GDP)",1990,-0.0600742002495874
South Africa,"Foreign direct investment, net inflows (% of GDP)",1991,0.187963513611019
South Africa,"Foreign direct investment, net inflows (% of GDP)",1992,0.0022850477176505
South Africa,"Foreign direct investment, net inflows (% of GDP)",1993,0.0076704815968297
South Africa,"Foreign direct investment, net inflows (% of GDP)",1994,0.243895398149911
South Africa,"Foreign direct investment, net inflows (% of GDP)",1995,0.72694450392697
South Africa,"Foreign direct investment, net inflows (% of GDP)",1996,0.500131495666207
South Africa,"Foreign direct investment, net inflows (% of GDP)",1997,2.25505250994968
South Africa,"Foreign direct investment, net inflows (% of GDP)",1998,0.359738435986599
South Africa,"Foreign direct investment, net inflows (% of GDP)",1999,0.992187596290559
South Africa,"Foreign direct investment, net inflows (% of GDP)",2000,0.638427514423677
South Africa,"Foreign direct investment, net inflows (% of GDP)",2001,5.36834529785161
South Africa,"Foreign direct investment, net inflows (% of GDP)",2002,1.14635726911695
South Africa,"Foreign direct investment, net inflows (% of GDP)",2003,0.397492744432543
South Africa,"Foreign direct investment, net inflows (% of GDP)",2004,0.274199790569949
South Africa,"Foreign direct investment, net inflows (% of GDP)",2005,2.25781874505445
South Africa,"Foreign direct investment, net inflows (% of GDP)",2006,0.205125538574009
South Africa,"Foreign direct investment, net inflows (% of GDP)",2007,1.97755772219349
South Africa,"Foreign direct investment, net inflows (% of GDP)",2008,3.12686614310453
South Africa,"Foreign direct investment, net inflows (% of GDP)",2009,2.31217470344994
South Africa,"Foreign direct investment, net inflows (% of GDP)",2010,0.884904611686012
South Africa,"Foreign direct investment, net inflows (% of GDP)",2011,0.903381424332558
South Africa,"Foreign direct investment, net inflows (% of GDP)",2012,1.06492249485696
South Africa,"Foreign direct investment, net inflows (% of GDP)",2013,2.05358095229684
South Africa,"Foreign direct investment, net inflows (% of GDP)",2014,1.5193274375398
South Africa,"Foreign direct investment, net inflows (% of GDP)",2015,0.438735792056359
South Africa,"Foreign direct investment, net inflows (% of GDP)",2016,0.684612553455795
South Africa,"Foreign direct investment, net inflows (% of GDP)",2017,0.539673956757809
South Africa,"Foreign direct investment, net inflows (% of GDP)",2018,1.3742911715334
South Africa,"Foreign direct investment, net inflows (% of GDP)",2019,1.31407752294385
South Africa,"Foreign direct investment, net inflows (% of GDP)",2020,0.932200051919526
South Africa,"Foreign direct investment, net inflows (% of GDP)",2021,9.67794936055887
South Africa,"Foreign direct investment, net inflows (% of GDP)",2022,2.26880576615303
