Country or Area,Item,Year,Value
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1985,47356780.1445254
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1986,70980336.0066132
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1987,112124716.802204
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1988,64566099.5242019
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1989,162699554.86216
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1990,27974221.2609344
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1991,206437797.580552
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1992,1939027488.34505
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1993,291914248.53766
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1994,1260506545.07751
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1995,2493914011.35083
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1996,1047974476.01688
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1997,2323603598.20083
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1998,1634005239.21988
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",1999,1584183080.40416
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2000,277178617.396324
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2001,-3514732729.23595
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2002,-402262421.186722
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2003,552543632.214808
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2004,1305424326.22046
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2005,909414375.586361
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2006,5928796515.33874
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2007,2982112484.38287
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2008,-2119582844.48363
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2009,1311299639.40389
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2010,-161293236.931745
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2011,-153398301.646755
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2012,2898869629.96875
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2013,6519873357.51593
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2014,7692076889.07784
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2015,5514928846.02681
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2016,4490478135.44759
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2017,7449223483.92817
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2018,4026961507.92188
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2019,3140937957.42651
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2020,-1935862273.31753
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2021,101577294.28811
South Africa,"Foreign direct investment, net outflows (BoP, current US$)",2022,2155057359.48146
