Country or Area,Item,Year,Value
South Africa,"Foreign direct investment, net outflows (% of GDP)",1985,0.0734676365480758
South Africa,"Foreign direct investment, net outflows (% of GDP)",1986,0.0967630798278606
South Africa,"Foreign direct investment, net outflows (% of GDP)",1987,0.116148371165068
South Africa,"Foreign direct investment, net outflows (% of GDP)",1988,0.0620966212976497
South Africa,"Foreign direct investment, net outflows (% of GDP)",1989,0.150570186646633
South Africa,"Foreign direct investment, net outflows (% of GDP)",1990,0.0221932836370684
South Africa,"Foreign direct investment, net outflows (% of GDP)",1991,0.152686502123036
South Africa,"Foreign direct investment, net outflows (% of GDP)",1992,1.3194599037378
South Africa,"Foreign direct investment, net outflows (% of GDP)",1993,0.198318386603615
South Africa,"Foreign direct investment, net outflows (% of GDP)",1994,0.821108900702775
South Africa,"Foreign direct investment, net outflows (% of GDP)",1995,1.45217949135897
South Africa,"Foreign direct investment, net outflows (% of GDP)",1996,0.642003831945675
South Africa,"Foreign direct investment, net outflows (% of GDP)",1997,1.37509191130908
South Africa,"Foreign direct investment, net outflows (% of GDP)",1998,1.06809606568276
South Africa,"Foreign direct investment, net outflows (% of GDP)",1999,1.04554837356127
South Africa,"Foreign direct investment, net outflows (% of GDP)",2000,0.18265145390608
South Africa,"Foreign direct investment, net outflows (% of GDP)",2001,-2.59524121005192
South Africa,"Foreign direct investment, net outflows (% of GDP)",2002,-0.311619827458977
South Africa,"Foreign direct investment, net outflows (% of GDP)",2003,0.280452001841072
South Africa,"Foreign direct investment, net outflows (% of GDP)",2004,0.510316290280268
South Africa,"Foreign direct investment, net outflows (% of GDP)",2005,0.314820900901202
South Africa,"Foreign direct investment, net outflows (% of GDP)",2006,1.95116907827083
South Africa,"Foreign direct investment, net outflows (% of GDP)",2007,0.895321932941909
South Africa,"Foreign direct investment, net outflows (% of GDP)",2008,-0.670475565675138
South Africa,"Foreign direct investment, net outflows (% of GDP)",2009,0.397659891384057
South Africa,"Foreign direct investment, net outflows (% of GDP)",2010,-0.0386457158286991
South Africa,"Foreign direct investment, net outflows (% of GDP)",2011,-0.0334784964578342
South Africa,"Foreign direct investment, net outflows (% of GDP)",2012,0.66732642552189
South Africa,"Foreign direct investment, net outflows (% of GDP)",2013,1.62636588366822
South Africa,"Foreign direct investment, net outflows (% of GDP)",2014,2.01786455809686
South Africa,"Foreign direct investment, net outflows (% of GDP)",2015,1.59064699001799
South Africa,"Foreign direct investment, net outflows (% of GDP)",2016,1.38772534652893
South Africa,"Foreign direct investment, net outflows (% of GDP)",2017,1.95287629630545
South Africa,"Foreign direct investment, net outflows (% of GDP)",2018,0.993671794601645
South Africa,"Foreign direct investment, net outflows (% of GDP)",2019,0.806754603416522
South Africa,"Foreign direct investment, net outflows (% of GDP)",2020,-0.572246972893451
South Africa,"Foreign direct investment, net outflows (% of GDP)",2021,0.0241782879170001
South Africa,"Foreign direct investment, net outflows (% of GDP)",2022,0.531757307231192
