Country or Area,Item,Year,Value
South Africa,Gross capital formation (constant 2015 US$),1985,23194098789.9011
South Africa,Gross capital formation (constant 2015 US$),1986,20178891828.1456
South Africa,Gross capital formation (constant 2015 US$),1987,19375249687.5559
South Africa,Gross capital formation (constant 2015 US$),1988,23534785962.6074
South Africa,Gross capital formation (constant 2015 US$),1989,24237806178.109
South Africa,Gross capital formation (constant 2015 US$),1990,21479761564.2596
South Africa,Gross capital formation (constant 2015 US$),1991,21334044076.486
South Africa,Gross capital formation (constant 2015 US$),1992,20026508039.8011
South Africa,Gross capital formation (constant 2015 US$),1993,19978074519.251
South Africa,Gross capital formation (constant 2015 US$),1994,24168064510.0994
South Africa,Gross capital formation (constant 2015 US$),1995,27607036874.2795
South Africa,Gross capital formation (constant 2015 US$),1996,27890735231.5641
South Africa,Gross capital formation (constant 2015 US$),1997,28711980460.3402
South Africa,Gross capital formation (constant 2015 US$),1998,29670972704.8034
South Africa,Gross capital formation (constant 2015 US$),1999,28742314119.9853
South Africa,Gross capital formation (constant 2015 US$),2000,29751974797.5572
South Africa,Gross capital formation (constant 2015 US$),2001,29894363856.3547
South Africa,Gross capital formation (constant 2015 US$),2002,32553747888.3847
South Africa,Gross capital formation (constant 2015 US$),2003,36278232933.7408
South Africa,Gross capital formation (constant 2015 US$),2004,42074280912.3291
South Africa,Gross capital formation (constant 2015 US$),2005,44802006987.2717
South Africa,Gross capital formation (constant 2015 US$),2006,50521978296.7323
South Africa,Gross capital formation (constant 2015 US$),2007,54881773856.4216
South Africa,Gross capital formation (constant 2015 US$),2008,59710413480.1884
South Africa,Gross capital formation (constant 2015 US$),2009,54681819888.3499
South Africa,Gross capital formation (constant 2015 US$),2010,55099591706.2009
South Africa,Gross capital formation (constant 2015 US$),2011,61564072364.4535
South Africa,Gross capital formation (constant 2015 US$),2012,61123563395.2673
South Africa,Gross capital formation (constant 2015 US$),2013,64182455118.7545
South Africa,Gross capital formation (constant 2015 US$),2014,62115231092.339
South Africa,Gross capital formation (constant 2015 US$),2015,64603151779.9023
South Africa,Gross capital formation (constant 2015 US$),2016,59185652510.4503
South Africa,Gross capital formation (constant 2015 US$),2017,60947260592.4862
South Africa,Gross capital formation (constant 2015 US$),2018,60207230837.3727
South Africa,Gross capital formation (constant 2015 US$),2019,60087702280.7949
South Africa,Gross capital formation (constant 2015 US$),2020,45329641818.0837
South Africa,Gross capital formation (constant 2015 US$),2021,48735333253.8639
South Africa,Gross capital formation (constant 2015 US$),2022,55899011014.5378
