Country or Area,Item,Year,Value
South Africa,Gross capital formation (constant LCU),1985,295741000000.0
South Africa,Gross capital formation (constant LCU),1986,257295000000.0
South Africa,Gross capital formation (constant LCU),1987,247048000000.0
South Africa,Gross capital formation (constant LCU),1988,300085000000.0
South Africa,Gross capital formation (constant LCU),1989,309049000000.0
South Africa,Gross capital formation (constant LCU),1990,273882000000.0
South Africa,Gross capital formation (constant LCU),1991,272024000000.0
South Africa,Gross capital formation (constant LCU),1992,255352000000.0
South Africa,Gross capital formation (constant LCU),1993,254734438700.0
South Africa,Gross capital formation (constant LCU),1994,308159744900.0
South Africa,Gross capital formation (constant LCU),1995,352009050500.0
South Africa,Gross capital formation (constant LCU),1996,355626403200.0
South Africa,Gross capital formation (constant LCU),1997,366097854900.0
South Africa,Gross capital formation (constant LCU),1998,378325677500.0
South Africa,Gross capital formation (constant LCU),1999,366484630300.0
South Africa,Gross capital formation (constant LCU),2000,379358510900.0
South Africa,Gross capital formation (constant LCU),2001,381174071100.0
South Africa,Gross capital formation (constant LCU),2002,415083079600.0
South Africa,Gross capital formation (constant LCU),2003,462572871800.0
South Africa,Gross capital formation (constant LCU),2004,536476541900.0
South Africa,Gross capital formation (constant LCU),2005,571256959300.0
South Africa,Gross capital formation (constant LCU),2006,644190598600.0
South Africa,Gross capital formation (constant LCU),2007,699781044700.0
South Africa,Gross capital formation (constant LCU),2008,761349580900.0
South Africa,Gross capital formation (constant LCU),2009,697231491600.0
South Africa,Gross capital formation (constant LCU),2010,702558374800.0
South Africa,Gross capital formation (constant LCU),2011,784985029600.0
South Africa,Gross capital formation (constant LCU),2012,779368231800.0
South Africa,Gross capital formation (constant LCU),2013,818371243100.0
South Africa,Gross capital formation (constant LCU),2014,792012689300.0
South Africa,Gross capital formation (constant LCU),2015,823735420100.0
South Africa,Gross capital formation (constant LCU),2016,754658511100.0
South Africa,Gross capital formation (constant LCU),2017,777120247617.921
South Africa,Gross capital formation (constant LCU),2018,767684350073.917
South Africa,Gross capital formation (constant LCU),2019,766160277284.063
South Africa,Gross capital formation (constant LCU),2020,577984672840.96
South Africa,Gross capital formation (constant LCU),2021,621409623300.67
South Africa,Gross capital formation (constant LCU),2022,712751530731.965
