Country or Area,Item,Year,Value
South Africa,Gross capital formation (current LCU),1985,29767000000.0
South Africa,Gross capital formation (current LCU),1986,33191000000.0
South Africa,Gross capital formation (current LCU),1987,32871000000.0
South Africa,Gross capital formation (current LCU),1988,46958000000.0
South Africa,Gross capital formation (current LCU),1989,60390000000.0
South Africa,Gross capital formation (current LCU),1990,59457000000.0
South Africa,Gross capital formation (current LCU),1991,66587000000.0
South Africa,Gross capital formation (current LCU),1992,65863000000.0
South Africa,Gross capital formation (current LCU),1993,68114624900.0
South Africa,Gross capital formation (current LCU),1994,89779459000.0
South Africa,Gross capital formation (current LCU),1995,110253529300.0
South Africa,Gross capital formation (current LCU),1996,116277671800.0
South Africa,Gross capital formation (current LCU),1997,126873111500.0
South Africa,Gross capital formation (current LCU),1998,138936161900.0
South Africa,Gross capital formation (current LCU),1999,144917266400.0
South Africa,Gross capital formation (current LCU),2000,158605548100.0
South Africa,Gross capital formation (current LCU),2001,169921617600.0
South Africa,Gross capital formation (current LCU),2002,204593364000.0
South Africa,Gross capital formation (current LCU),2003,233353481600.0
South Africa,Gross capital formation (current LCU),2004,280258628100.0
South Africa,Gross capital formation (current LCU),2005,309200680600.0
South Africa,Gross capital formation (current LCU),2006,380453284300.0
South Africa,Gross capital formation (current LCU),2007,453512733200.0
South Africa,Gross capital formation (current LCU),2008,555944359700.0
South Africa,Gross capital formation (current LCU),2009,524391286500.0
South Africa,Gross capital formation (current LCU),2010,537654839400.0
South Africa,Gross capital formation (current LCU),2011,627256080500.0
South Africa,Gross capital formation (current LCU),2012,662796090900.0
South Africa,Gross capital formation (current LCU),2013,741568540300.0
South Africa,Gross capital formation (current LCU),2014,764268948800.0
South Africa,Gross capital formation (current LCU),2015,823735407400.0
South Africa,Gross capital formation (current LCU),2016,807241978000.0
South Africa,Gross capital formation (current LCU),2017,843524623537.494
South Africa,Gross capital formation (current LCU),2018,867259158923.089
South Africa,Gross capital formation (current LCU),2019,889952305273.915
South Africa,Gross capital formation (current LCU),2020,698086976801.371
South Africa,Gross capital formation (current LCU),2021,809935327484.474
South Africa,Gross capital formation (current LCU),2022,1019388692352.43
