Country or Area,Item,Year,Value
South Africa,Gross capital formation (current US$),1985,13356366450.9181
South Africa,Gross capital formation (current US$),1986,14525398331.4019
South Africa,Gross capital formation (current US$),1987,16144630268.7628
South Africa,Gross capital formation (current US$),1988,20654788191.4327
South Africa,Gross capital formation (current US$),1989,23026091280.0166
South Africa,Gross capital formation (current US$),1990,22980140461.8909
South Africa,Gross capital formation (current US$),1991,24114235427.6857
South Africa,Gross capital formation (current US$),1992,23093505151.0967
South Africa,Gross capital formation (current US$),1993,20844554098.8242
South Africa,Gross capital formation (current US$),1994,25284304823.8734
South Africa,Gross capital formation (current US$),1995,30397283024.7981
South Africa,Gross capital formation (current US$),1996,27045413573.0782
South Africa,Gross capital formation (current US$),1997,27533454377.445
South Africa,Gross capital formation (current US$),1998,25131878517.8186
South Africa,Gross capital formation (current US$),1999,23720050072.9685
South Africa,Gross capital formation (current US$),2000,22854391794.7246
South Africa,Gross capital formation (current US$),2001,19737256958.5887
South Africa,Gross capital formation (current US$),2002,19409759479.0957
South Africa,Gross capital formation (current US$),2003,30847485038.8294
South Africa,Gross capital formation (current US$),2004,43385750390.9242
South Africa,Gross capital formation (current US$),2005,48621596590.08
South Africa,Gross capital formation (current US$),2006,56184084956.0418
South Africa,Gross capital formation (current US$),2007,64370367354.9915
South Africa,Gross capital formation (current US$),2008,67295648561.9623
South Africa,Gross capital formation (current US$),2009,61884760553.6866
South Africa,Gross capital formation (current US$),2010,73437854964.6494
South Africa,Gross capital formation (current US$),2011,86385439694.527
South Africa,Gross capital formation (current US$),2012,80731323268.2493
South Africa,Gross capital formation (current US$),2013,76844888219.9333
South Africa,Gross capital formation (current US$),2014,70475909114.3816
South Africa,Gross capital formation (current US$),2015,64603151779.9023
South Africa,Gross capital formation (current US$),2016,54881566001.3053
South Africa,Gross capital formation (current US$),2017,63361448184.655
South Africa,Gross capital formation (current US$),2018,65533021638.7102
South Africa,Gross capital formation (current US$),2019,61595099956.1347
South Africa,Gross capital formation (current US$),2020,42413422649.7353
South Africa,Gross capital formation (current US$),2021,54804315209.0108
South Africa,Gross capital formation (current US$),2022,62325620825.3052
