Country or Area,Item,Year,Value
South Africa,Gross capital formation (% of GDP),1985,20.720595298589
South Africa,Gross capital formation (% of GDP),1986,19.8015726234653
South Africa,Gross capital formation (% of GDP),1987,16.7239888069194
South Africa,Gross capital formation (% of GDP),1988,19.8647985515339
South Africa,Gross capital formation (% of GDP),1989,21.3094797014767
South Africa,Gross capital formation (% of GDP),1990,18.2312412035802
South Africa,Gross capital formation (% of GDP),1991,17.8354850806236
South Africa,Gross capital formation (% of GDP),1992,15.7145549853145
South Africa,Gross capital formation (% of GDP),1993,14.161207817224
South Africa,Gross capital formation (% of GDP),1994,16.4704957860317
South Africa,Gross capital formation (% of GDP),1995,17.7000132325077
South Africa,Gross capital formation (% of GDP),1996,16.5683988950434
South Africa,Gross capital formation (% of GDP),1997,16.2941004369842
South Africa,Gross capital formation (% of GDP),1998,16.4278913701127
South Africa,Gross capital formation (% of GDP),1999,15.6550464913797
South Africa,Gross capital formation (% of GDP),2000,15.0602810875446
South Africa,Gross capital formation (% of GDP),2001,14.5737803066035
South Africa,Gross capital formation (% of GDP),2002,15.036119660525
South Africa,Gross capital formation (% of GDP),2003,15.6571145272722
South Africa,Gross capital formation (% of GDP),2004,16.9603513170499
South Africa,Gross capital formation (% of GDP),2005,16.8318153447643
South Africa,Gross capital formation (% of GDP),2006,18.4902026867601
South Africa,Gross capital formation (% of GDP),2007,19.3259650755187
South Africa,Gross capital formation (% of GDP),2008,21.2872491181391
South Africa,Gross capital formation (% of GDP),2009,18.7669441984248
South Africa,Gross capital formation (% of GDP),2010,17.5956446037105
South Africa,Gross capital formation (% of GDP),2011,18.8532376550132
South Africa,Gross capital formation (% of GDP),2012,18.5845354435045
South Africa,Gross capital formation (% of GDP),2013,19.1687625943111
South Africa,Gross capital formation (% of GDP),2014,18.4879638168327
South Africa,Gross capital formation (% of GDP),2015,18.6332066638376
South Africa,Gross capital formation (% of GDP),2016,16.9604522948246
South Africa,Gross capital formation (% of GDP),2017,16.6107340619279
South Africa,Gross capital formation (% of GDP),2018,16.1705829790784
South Africa,Gross capital formation (% of GDP),2019,15.8207933779842
South Africa,Gross capital formation (% of GDP),2020,12.5375410512897
South Africa,Gross capital formation (% of GDP),2021,13.0449872828774
South Africa,Gross capital formation (% of GDP),2022,15.37875739398
