Country or Area,Item,Year,Value
South Africa,Gross fixed capital formation (annual % growth),1985,-7.02620880787349
South Africa,Gross fixed capital formation (annual % growth),1986,-18.5749943136246
South Africa,Gross fixed capital formation (annual % growth),1987,-5.11675432889692
South Africa,Gross fixed capital formation (annual % growth),1988,12.5835767356457
South Africa,Gross fixed capital formation (annual % growth),1989,6.50449024532911
South Africa,Gross fixed capital formation (annual % growth),1990,-2.34061524743647
South Africa,Gross fixed capital formation (annual % growth),1991,-7.38829398357201
South Africa,Gross fixed capital formation (annual % growth),1992,-5.25977389223267
South Africa,Gross fixed capital formation (annual % growth),1993,-0.554990272593585
South Africa,Gross fixed capital formation (annual % growth),1994,8.24715589962392
South Africa,Gross fixed capital formation (annual % growth),1995,10.6912658567569
South Africa,Gross fixed capital formation (annual % growth),1996,9.00821947875615
South Africa,Gross fixed capital formation (annual % growth),1997,5.74187109446336
South Africa,Gross fixed capital formation (annual % growth),1998,4.76528494291333
South Africa,Gross fixed capital formation (annual % growth),1999,-7.59510651094973
South Africa,Gross fixed capital formation (annual % growth),2000,3.86570886651938
South Africa,Gross fixed capital formation (annual % growth),2001,2.84889053541812
South Africa,Gross fixed capital formation (annual % growth),2002,3.49260992983974
South Africa,Gross fixed capital formation (annual % growth),2003,10.2370130858653
South Africa,Gross fixed capital formation (annual % growth),2004,12.8769809243088
South Africa,Gross fixed capital formation (annual % growth),2005,10.9837365104473
South Africa,Gross fixed capital formation (annual % growth),2006,12.1446524403842
South Africa,Gross fixed capital formation (annual % growth),2007,13.7587117012947
South Africa,Gross fixed capital formation (annual % growth),2008,12.8225168373093
South Africa,Gross fixed capital formation (annual % growth),2009,-6.6767501105854
South Africa,Gross fixed capital formation (annual % growth),2010,-3.91225200787746
South Africa,Gross fixed capital formation (annual % growth),2011,6.8435096827062
South Africa,Gross fixed capital formation (annual % growth),2012,1.75743845962717
South Africa,Gross fixed capital formation (annual % growth),2013,5.35786883434454
South Africa,Gross fixed capital formation (annual % growth),2014,-1.31728948668591
South Africa,Gross fixed capital formation (annual % growth),2015,1.34958152451684
South Africa,Gross fixed capital formation (annual % growth),2016,-1.93196563905181
South Africa,Gross fixed capital formation (annual % growth),2017,-2.03313639511416
South Africa,Gross fixed capital formation (annual % growth),2018,-1.21450721198484
South Africa,Gross fixed capital formation (annual % growth),2019,-1.7435420259347
South Africa,Gross fixed capital formation (annual % growth),2020,-14.6275161316509
South Africa,Gross fixed capital formation (annual % growth),2021,0.639522032431856
South Africa,Gross fixed capital formation (annual % growth),2022,4.79466083629423
