Country or Area,Item,Year,Value
South Africa,Gross fixed capital formation (constant 2015 US$),1985,26204992667.0692
South Africa,Gross fixed capital formation (constant 2015 US$),1986,21337416769.2754
South Africa,Gross fixed capital formation (constant 2015 US$),1987,20245633573.0587
South Africa,Gross fixed capital formation (constant 2015 US$),1988,22793258409.3422
South Africa,Gross fixed capital formation (constant 2015 US$),1989,24275843679.1705
South Africa,Gross fixed capital formation (constant 2015 US$),1990,23707639580.572
South Africa,Gross fixed capital formation (constant 2015 US$),1991,21956049471.7937
South Africa,Gross fixed capital formation (constant 2015 US$),1992,20801210913.9106
South Africa,Gross fixed capital formation (constant 2015 US$),1993,20685766216.7567
South Africa,Gross fixed capital formation (constant 2015 US$),1994,22391753605.6844
South Africa,Gross fixed capital formation (constant 2015 US$),1995,24785715513.6581
South Africa,Gross fixed capital formation (constant 2015 US$),1996,27018467166.5085
South Africa,Gross fixed capital formation (constant 2015 US$),1997,28569832722.9093
South Africa,Gross fixed capital formation (constant 2015 US$),1998,29931266659.8696
South Africa,Gross fixed capital formation (constant 2015 US$),1999,27657955076.9762
South Africa,Gross fixed capital formation (constant 2015 US$),2000,28727131098.6848
South Africa,Gross fixed capital formation (constant 2015 US$),2001,29545535617.6524
South Africa,Gross fixed capital formation (constant 2015 US$),2002,30577445928.4588
South Africa,Gross fixed capital formation (constant 2015 US$),2003,33707663069.4785
South Africa,Gross fixed capital formation (constant 2015 US$),2004,38048192412.9656
South Africa,Gross fixed capital formation (constant 2015 US$),2005,42227305614.5937
South Africa,Gross fixed capital formation (constant 2015 US$),2006,47355665116.425
South Africa,Gross fixed capital formation (constant 2015 US$),2007,53871194554.0245
South Africa,Gross fixed capital formation (constant 2015 US$),2008,60778837546.1739
South Africa,Gross fixed capital formation (constant 2015 US$),2009,56720786443.0972
South Africa,Gross fixed capital formation (constant 2015 US$),2010,54501726336.5933
South Africa,Gross fixed capital formation (constant 2015 US$),2011,58231557255.6801
South Africa,Gross fixed capital formation (constant 2015 US$),2012,59254941038.5312
South Africa,Gross fixed capital formation (constant 2015 US$),2013,62429743057.2439
South Africa,Gross fixed capital formation (constant 2015 US$),2014,61607362615.3858
South Africa,Gross fixed capital formation (constant 2015 US$),2015,62438804198.9852
South Africa,Gross fixed capital formation (constant 2015 US$),2016,61232507956.4259
South Africa,Gross fixed capital formation (constant 2015 US$),2017,59987567551.5227
South Africa,Gross fixed capital formation (constant 2015 US$),2018,59259014217.3151
South Africa,Gross fixed capital formation (constant 2015 US$),2019,58225808400.2816
South Africa,Gross fixed capital formation (constant 2015 US$),2020,49708818883.7463
South Africa,Gross fixed capital formation (constant 2015 US$),2021,50026717732.5695
South Africa,Gross fixed capital formation (constant 2015 US$),2022,52425329175.3765
