Country or Area,Item,Year,Value
South Africa,Gross fixed capital formation (constant LCU),1985,334132000000.0
South Africa,Gross fixed capital formation (constant LCU),1986,272067000000.0
South Africa,Gross fixed capital formation (constant LCU),1987,258146000000.0
South Africa,Gross fixed capital formation (constant LCU),1988,290630000000.0
South Africa,Gross fixed capital formation (constant LCU),1989,309534000000.0
South Africa,Gross fixed capital formation (constant LCU),1990,302289000000.0
South Africa,Gross fixed capital formation (constant LCU),1991,279955000000.0
South Africa,Gross fixed capital formation (constant LCU),1992,265230000000.0
South Africa,Gross fixed capital formation (constant LCU),1993,263757999300.0
South Africa,Gross fixed capital formation (constant LCU),1994,285510532700.0
South Africa,Gross fixed capital formation (constant LCU),1995,316035222800.0
South Africa,Gross fixed capital formation (constant LCU),1996,344504369300.0
South Africa,Gross fixed capital formation (constant LCU),1997,364285366100.0
South Africa,Gross fixed capital formation (constant LCU),1998,381644601800.0
South Africa,Gross fixed capital formation (constant LCU),1999,352658287800.0
South Africa,Gross fixed capital formation (constant LCU),2000,366291030500.0
South Africa,Gross fixed capital formation (constant LCU),2001,376726261000.0
South Africa,Gross fixed capital formation (constant LCU),2002,389883839800.0
South Africa,Gross fixed capital formation (constant LCU),2003,429796299500.0
South Africa,Gross fixed capital formation (constant LCU),2004,485141087000.0
South Africa,Gross fixed capital formation (constant LCU),2005,538427705700.0
South Africa,Gross fixed capital formation (constant LCU),2006,603817879200.0
South Africa,Gross fixed capital formation (constant LCU),2007,686895440400.0
South Africa,Gross fixed capital formation (constant LCU),2008,774972723900.0
South Africa,Gross fixed capital formation (constant LCU),2009,723229731700.0
South Africa,Gross fixed capital formation (constant LCU),2010,694935162000.0
South Africa,Gross fixed capital formation (constant LCU),2011,742493117100.0
South Africa,Gross fixed capital formation (constant LCU),2012,755541976700.0
South Africa,Gross fixed capital formation (constant LCU),2013,796022924800.0
South Africa,Gross fixed capital formation (constant LCU),2014,785536998500.0
South Africa,Gross fixed capital formation (constant LCU),2015,796138460700.0
South Africa,Gross fixed capital formation (constant LCU),2016,780757339200.0
South Africa,Gross fixed capital formation (constant LCU),2017,764883477579.2
South Africa,Gross fixed capital formation (constant LCU),2018,755593912580.72
South Africa,Gross fixed capital formation (constant LCU),2019,742419815169.471
South Africa,Gross fixed capital formation (constant LCU),2020,633822236940.984
South Africa,Gross fixed capital formation (constant LCU),2021,637875669792.674
South Africa,Gross fixed capital formation (constant LCU),2022,668459644716.473
