Country or Area,Item,Year,Value
South Africa,Gross fixed capital formation (current LCU),1985,33110000000.0
South Africa,Gross fixed capital formation (current LCU),1986,34267000000.0
South Africa,Gross fixed capital formation (current LCU),1987,36108000000.0
South Africa,Gross fixed capital formation (current LCU),1988,46292000000.0
South Africa,Gross fixed capital formation (current LCU),1989,59354000000.0
South Africa,Gross fixed capital formation (current LCU),1990,64034000000.0
South Africa,Gross fixed capital formation (current LCU),1991,66683000000.0
South Africa,Gross fixed capital formation (current LCU),1992,68605000000.0
South Africa,Gross fixed capital formation (current LCU),1993,70937624900.0
South Africa,Gross fixed capital formation (current LCU),1994,81703459000.0
South Africa,Gross fixed capital formation (current LCU),1995,97810529300.0
South Africa,Gross fixed capital formation (current LCU),1996,110919671800.0
South Africa,Gross fixed capital formation (current LCU),1997,125752111500.0
South Africa,Gross fixed capital formation (current LCU),1998,139664161900.0
South Africa,Gross fixed capital formation (current LCU),1999,137384266400.0
South Africa,Gross fixed capital formation (current LCU),2000,151515548100.0
South Africa,Gross fixed capital formation (current LCU),2001,167467617600.0
South Africa,Gross fixed capital formation (current LCU),2002,190866364000.0
South Africa,Gross fixed capital formation (current LCU),2003,218446481600.0
South Africa,Gross fixed capital formation (current LCU),2004,250628628100.0
South Africa,Gross fixed capital formation (current LCU),2005,291684680600.0
South Africa,Gross fixed capital formation (current LCU),2006,357312284300.0
South Africa,Gross fixed capital formation (current LCU),2007,446370733200.0
South Africa,Gross fixed capital formation (current LCU),2008,564499359700.0
South Africa,Gross fixed capital formation (current LCU),2009,544619286500.0
South Africa,Gross fixed capital formation (current LCU),2010,536615659600.0
South Africa,Gross fixed capital formation (current LCU),2011,592526085700.0
South Africa,Gross fixed capital formation (current LCU),2012,639628782500.0
South Africa,Gross fixed capital formation (current LCU),2013,718741672800.0
South Africa,Gross fixed capital formation (current LCU),2014,756548317500.0
South Africa,Gross fixed capital formation (current LCU),2015,796138460700.0
South Africa,Gross fixed capital formation (current LCU),2016,830137878000.0
South Africa,Gross fixed capital formation (current LCU),2017,832762472435.854
South Africa,Gross fixed capital formation (current LCU),2018,853936162802.135
South Africa,Gross fixed capital formation (current LCU),2019,870162619521.803
South Africa,Gross fixed capital formation (current LCU),2020,768838974182.587
South Africa,Gross fixed capital formation (current LCU),2021,818548589121.058
South Africa,Gross fixed capital formation (current LCU),2022,941943976182.441
