Country or Area,Item,Year,Value
South Africa,Gross fixed capital formation (current US$),1985,14856360842.2044
South Africa,Gross fixed capital formation (current US$),1986,14996288892.2343
South Africa,Gross fixed capital formation (current US$),1987,17734486621.7787
South Africa,Gross fixed capital formation (current US$),1988,20361843667.9118
South Africa,Gross fixed capital formation (current US$),1989,22631075042.7902
South Africa,Gross fixed capital formation (current US$),1990,24749151728.7573
South Africa,Gross fixed capital formation (current US$),1991,24149001472.1247
South Africa,Gross fixed capital formation (current US$),1992,24054931006.65
South Africa,Gross fixed capital formation (current US$),1993,21708453390.7512
South Africa,Gross fixed capital formation (current US$),1994,23009886510.0183
South Africa,Gross fixed capital formation (current US$),1995,26966704474.8055
South Africa,Gross fixed capital formation (current US$),1996,25799178387.2396
South Africa,Gross fixed capital formation (current US$),1997,27290179801.83
South Africa,Gross fixed capital formation (current US$),1998,25263564950.7153
South Africa,Gross fixed capital formation (current US$),1999,22487049053.5698
South Africa,Gross fixed capital formation (current US$),2000,21832752641.7081
South Africa,Gross fixed capital formation (current US$),2001,19452212422.9935
South Africa,Gross fixed capital formation (current US$),2002,18107479858.8753
South Africa,Gross fixed capital formation (current US$),2003,28876897515.0398
South Africa,Gross fixed capital formation (current US$),2004,38798845099.9142
South Africa,Gross fixed capital formation (current US$),2005,45867217511.0326
South Africa,Gross fixed capital formation (current US$),2006,52766698476.2275
South Africa,Gross fixed capital formation (current US$),2007,63356651245.1803
South Africa,Gross fixed capital formation (current US$),2008,68331209519.4622
South Africa,Gross fixed capital formation (current US$),2009,64271918709.6412
South Africa,Gross fixed capital formation (current US$),2010,73295914206.6721
South Africa,Gross fixed capital formation (current US$),2011,81602439633.3795
South Africa,Gross fixed capital formation (current US$),2012,77909448653.455
South Africa,Gross fixed capital formation (current US$),2013,74479458746.969
South Africa,Gross fixed capital formation (current US$),2014,69763962736.5276
South Africa,Gross fixed capital formation (current US$),2015,62438804198.9852
South Africa,Gross fixed capital formation (current US$),2016,56438178369.4115
South Africa,Gross fixed capital formation (current US$),2017,62553047978.7164
South Africa,Gross fixed capital formation (current US$),2018,64526291200.5202
South Africa,Gross fixed capital formation (current US$),2019,60225422429.8467
South Africa,Gross fixed capital formation (current US$),2020,46712076639.8044
South Africa,Gross fixed capital formation (current US$),2021,55387131996.5871
South Africa,Gross fixed capital formation (current US$),2022,57590635974.9284
