Country or Area,Item,Year,Value
South Africa,Gross fixed capital formation (% of GDP),1985,23.0476336324212
South Africa,Gross fixed capital formation (% of GDP),1986,20.443508453746
South Africa,Gross fixed capital formation (% of GDP),1987,18.3708979903332
South Africa,Gross fixed capital formation (% of GDP),1988,19.5830583616766
South Africa,Gross fixed capital formation (% of GDP),1989,20.9439122073431
South Africa,Gross fixed capital formation (% of GDP),1990,19.6346821943599
South Africa,Gross fixed capital formation (% of GDP),1991,17.8611989071624
South Africa,Gross fixed capital formation (% of GDP),1992,16.3687813304511
South Africa,Gross fixed capital formation (% of GDP),1993,14.7481168654162
South Africa,Gross fixed capital formation (% of GDP),1994,14.9889127441024
South Africa,Gross fixed capital formation (% of GDP),1995,15.7024239847946
South Africa,Gross fixed capital formation (% of GDP),1996,15.8049377773119
South Africa,Gross fixed capital formation (% of GDP),1997,16.1501322913786
South Africa,Gross fixed capital formation (% of GDP),1998,16.5139705071343
South Africa,Gross fixed capital formation (% of GDP),1999,14.841275516056
South Africa,Gross fixed capital formation (% of GDP),2000,14.3870549981056
South Africa,Gross fixed capital formation (% of GDP),2001,14.3633064576751
South Africa,Gross fixed capital formation (% of GDP),2002,14.0272853046852
South Africa,Gross fixed capital formation (% of GDP),2003,14.65691258189
South Africa,Gross fixed capital formation (% of GDP),2004,15.1672389589002
South Africa,Gross fixed capital formation (% of GDP),2005,15.8783049029154
South Africa,Gross fixed capital formation (% of GDP),2006,17.365539559823
South Africa,Gross fixed capital formation (% of GDP),2007,19.0216163054292
South Africa,Gross fixed capital formation (% of GDP),2008,21.6148222161088
South Africa,Gross fixed capital formation (% of GDP),2009,19.4908649747967
South Africa,Gross fixed capital formation (% of GDP),2010,17.5616357245929
South Africa,Gross fixed capital formation (% of GDP),2011,17.8093691839418
South Africa,Gross fixed capital formation (% of GDP),2012,17.934933446749
South Africa,Gross fixed capital formation (% of GDP),2013,18.5787122077315
South Africa,Gross fixed capital formation (% of GDP),2014,18.301198735847
South Africa,Gross fixed capital formation (% of GDP),2015,18.0089532852253
South Africa,Gross fixed capital formation (% of GDP),2016,17.4415036155936
South Africa,Gross fixed capital formation (% of GDP),2017,16.3988051805469
South Africa,Gross fixed capital formation (% of GDP),2018,15.9221674828716
South Africa,Gross fixed capital formation (% of GDP),2019,15.4689896605894
South Africa,Gross fixed capital formation (% of GDP),2020,13.8082366825021
South Africa,Gross fixed capital formation (% of GDP),2021,13.1837142709473
South Africa,Gross fixed capital formation (% of GDP),2022,14.210406685012
