Country or Area,Item,Year,Value
South Africa,"Gross fixed capital formation, private sector (current LCU)",1985,22843000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1986,22843000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1987,24803000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1988,33038000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1989,41238000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1990,46537000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1991,48138000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1992,50099000000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1993,54894449700.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1994,65490934600.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1995,79051302700.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1996,90670811400.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1997,102514403000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1998,114683574300.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",1999,112398981400.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2000,123670353700.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2001,137878902100.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2002,156651841100.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2003,178111158400.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2004,206094829800.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2005,242771351800.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2006,297795108200.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2007,367060301700.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2008,463346577200.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2009,443825797400.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2010,440134160700.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2011,478771690300.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2012,524583610300.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2013,595101295000.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2014,619198097700.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2015,641845470600.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2016,665614652100.0
South Africa,"Gross fixed capital formation, private sector (current LCU)",2017,678269900215.706
South Africa,"Gross fixed capital formation, private sector (current LCU)",2018,701057049896.897
South Africa,"Gross fixed capital formation, private sector (current LCU)",2019,721831967969.255
South Africa,"Gross fixed capital formation, private sector (current LCU)",2020,627650990331.985
South Africa,"Gross fixed capital formation, private sector (current LCU)",2021,668570042290.119
South Africa,"Gross fixed capital formation, private sector (current LCU)",2022,777023953390.372
