Country or Area,Item,Year,Value
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1985,15.9008485371609
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1986,13.6280113114343
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1987,12.6191808700076
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1988,13.9761747635244
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1989,14.5514211612767
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1990,14.2695943604792
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1991,12.8938768950554
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1992,11.9533499872352
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1993,11.4126989813879
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1994,12.0146431529798
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1995,12.6908327807785
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1996,12.9196788012438
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1997,13.1657524511762
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1998,13.5602515196344
South Africa,"Gross fixed capital formation, private sector (% of GDP)",1999,12.142178244957
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2000,11.7430336531718
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2001,11.8255514307268
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2002,11.5127674806752
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2003,11.9505686674697
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2004,12.4721966339904
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2005,13.2156325030302
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2006,14.4729777267523
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2007,15.6418862182976
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2008,17.7416567769767
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2009,15.8836620440817
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2010,14.4041189664954
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2011,14.3902892938449
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2012,14.7091131534341
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2013,15.3827391852509
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2014,14.9786433737804
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2015,14.5187874558977
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2016,13.984809835643
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2017,13.3565288081868
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2018,13.0716419443788
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2019,12.832097126093
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2020,11.2725209303095
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2021,10.7681285201807
South Africa,"Gross fixed capital formation, private sector (% of GDP)",2022,11.7223812252868
