Country or Area,Item,Year,Value
South Africa,Gross savings (% of GDP),1985,21.2593532078531
South Africa,Gross savings (% of GDP),1986,20.0001757522957
South Africa,Gross savings (% of GDP),1987,18.3156029687582
South Africa,Gross savings (% of GDP),1988,18.2771443405001
South Africa,Gross savings (% of GDP),1989,18.9887572418988
South Africa,Gross savings (% of GDP),1990,14.5339652609084
South Africa,Gross savings (% of GDP),1991,14.9190153498464
South Africa,Gross savings (% of GDP),1992,14.7652708759134
South Africa,Gross savings (% of GDP),1993,15.8181708495112
South Africa,Gross savings (% of GDP),1994,15.3713439787969
South Africa,Gross savings (% of GDP),1995,16.7229243750952
South Africa,Gross savings (% of GDP),1996,15.6676340468534
South Africa,Gross savings (% of GDP),1997,14.8721005678227
South Africa,Gross savings (% of GDP),1998,14.7707269426762
South Africa,Gross savings (% of GDP),1999,14.4134925403983
South Africa,Gross savings (% of GDP),2000,15.1071311384903
South Africa,Gross savings (% of GDP),2001,14.75987098618
South Africa,Gross savings (% of GDP),2002,17.9462746689553
South Africa,Gross savings (% of GDP),2003,18.3856021936131
South Africa,Gross savings (% of GDP),2004,16.9812413466822
South Africa,Gross savings (% of GDP),2005,17.6980975254121
South Africa,Gross savings (% of GDP),2006,18.1066244019378
South Africa,Gross savings (% of GDP),2007,17.0070365918154
South Africa,Gross savings (% of GDP),2008,16.3236463368662
South Africa,Gross savings (% of GDP),2009,17.3774362268234
South Africa,Gross savings (% of GDP),2010,17.14240591184
South Africa,Gross savings (% of GDP),2011,16.1020568568902
South Africa,Gross savings (% of GDP),2012,13.4973772040141
South Africa,Gross savings (% of GDP),2013,13.8378436838246
South Africa,Gross savings (% of GDP),2014,13.6817734164401
South Africa,Gross savings (% of GDP),2015,14.288975935155
South Africa,Gross savings (% of GDP),2016,14.2879183908629
South Africa,Gross savings (% of GDP),2017,14.2437080847351
South Africa,Gross savings (% of GDP),2018,13.2302365268805
South Africa,Gross savings (% of GDP),2019,13.2160231525616
South Africa,Gross savings (% of GDP),2020,14.4751390056003
South Africa,Gross savings (% of GDP),2021,16.3403611629519
South Africa,Gross savings (% of GDP),2022,14.8697417296037
