Country or Area,Item,Year,Value
South Africa,Net investment in nonfinancial assets (% of GDP),1985,1.76877188341837
South Africa,Net investment in nonfinancial assets (% of GDP),1986,1.93177343722035
South Africa,Net investment in nonfinancial assets (% of GDP),1987,1.49682014754515
South Africa,Net investment in nonfinancial assets (% of GDP),1988,1.41631554901264
South Africa,Net investment in nonfinancial assets (% of GDP),1989,1.17362691649465
South Africa,Net investment in nonfinancial assets (% of GDP),1990,1.30347993266427
South Africa,Net investment in nonfinancial assets (% of GDP),1991,1.29881609256978
South Africa,Net investment in nonfinancial assets (% of GDP),1992,1.04361270372995
South Africa,Net investment in nonfinancial assets (% of GDP),1993,0.971113058485821
South Africa,Net investment in nonfinancial assets (% of GDP),1994,0.522663457956507
South Africa,Net investment in nonfinancial assets (% of GDP),1995,0.793705797692935
South Africa,Net investment in nonfinancial assets (% of GDP),1996,0.677112211918627
South Africa,Net investment in nonfinancial assets (% of GDP),1997,0.69023800049683
South Africa,Net investment in nonfinancial assets (% of GDP),1998,0.67670262237388
South Africa,Net investment in nonfinancial assets (% of GDP),1999,0.479220685468363
South Africa,Net investment in nonfinancial assets (% of GDP),2000,0.446560645419273
South Africa,Net investment in nonfinancial assets (% of GDP),2001,0.562807415105093
South Africa,Net investment in nonfinancial assets (% of GDP),2002,0.495928770540293
South Africa,Net investment in nonfinancial assets (% of GDP),2003,0.530437479471538
South Africa,Net investment in nonfinancial assets (% of GDP),2004,0.470578525041241
South Africa,Net investment in nonfinancial assets (% of GDP),2005,0.569460649245349
South Africa,Net investment in nonfinancial assets (% of GDP),2006,0.54942814269148
South Africa,Net investment in nonfinancial assets (% of GDP),2007,0.524151480271779
South Africa,Net investment in nonfinancial assets (% of GDP),2008,0.600965490664359
South Africa,Net investment in nonfinancial assets (% of GDP),2009,0.536283968262413
South Africa,Net investment in nonfinancial assets (% of GDP),2010,0.606397453755077
South Africa,Net investment in nonfinancial assets (% of GDP),2011,0.708339815779801
South Africa,Net investment in nonfinancial assets (% of GDP),2012,0.903101732098402
South Africa,Net investment in nonfinancial assets (% of GDP),2013,0.832747644373044
South Africa,Net investment in nonfinancial assets (% of GDP),2014,0.927599939399031
South Africa,Net investment in nonfinancial assets (% of GDP),2015,1.01711201426567
South Africa,Net investment in nonfinancial assets (% of GDP),2016,0.818118556759667
