Country or Area,Item,Year,Value
South Africa,Deposit interest rate (%),2001,8.99
South Africa,Deposit interest rate (%),2002,10.7741666666667
South Africa,Deposit interest rate (%),2003,9.76083333333333
South Africa,Deposit interest rate (%),2004,6.55416666666667
South Africa,Deposit interest rate (%),2005,6.04333333333333
South Africa,Deposit interest rate (%),2006,7.14166666666667
South Africa,Deposit interest rate (%),2007,9.155
South Africa,Deposit interest rate (%),2008,11.6125
South Africa,Deposit interest rate (%),2009,8.53666666666667
South Africa,Deposit interest rate (%),2010,6.465
South Africa,Deposit interest rate (%),2011,5.6725
South Africa,Deposit interest rate (%),2012,5.43666666666667
South Africa,Deposit interest rate (%),2013,5.1525
South Africa,Deposit interest rate (%),2014,5.80083333333333
South Africa,Deposit interest rate (%),2015,6.15333333333333
South Africa,Deposit interest rate (%),2016,7.17166666666667
South Africa,Deposit interest rate (%),2017,7.24583333333333
South Africa,Deposit interest rate (%),2018,6.99833333333333
South Africa,Deposit interest rate (%),2019,7.00833333333333
South Africa,Deposit interest rate (%),2020,4.88083333333333
South Africa,Deposit interest rate (%),2021,3.815
South Africa,Deposit interest rate (%),2022,5.06666666666667
