Country or Area,Item,Year,Value
South Africa,Domestic credit provided by financial sector (% of GDP),1985,85.983509560835
South Africa,Domestic credit provided by financial sector (% of GDP),1986,84.6022801847057
South Africa,Domestic credit provided by financial sector (% of GDP),1987,83.080208598321
South Africa,Domestic credit provided by financial sector (% of GDP),1988,83.7318730223192
South Africa,Domestic credit provided by financial sector (% of GDP),1989,83.1028246793345
South Africa,Domestic credit provided by financial sector (% of GDP),1990,86.9120281362782
South Africa,Domestic credit provided by financial sector (% of GDP),1992,106.386981563797
South Africa,Domestic credit provided by financial sector (% of GDP),1993,114.312730623083
South Africa,Domestic credit provided by financial sector (% of GDP),1994,119.863847266264
South Africa,Domestic credit provided by financial sector (% of GDP),1995,122.798359450829
South Africa,Domestic credit provided by financial sector (% of GDP),1996,122.924079472061
South Africa,Domestic credit provided by financial sector (% of GDP),1997,121.487410505159
South Africa,Domestic credit provided by financial sector (% of GDP),1998,122.125200133018
South Africa,Domestic credit provided by financial sector (% of GDP),1999,134.766471199051
South Africa,Domestic credit provided by financial sector (% of GDP),2000,133.497184143478
South Africa,Domestic credit provided by financial sector (% of GDP),2001,157.304784591102
South Africa,Domestic credit provided by financial sector (% of GDP),2002,137.011144824699
South Africa,Domestic credit provided by financial sector (% of GDP),2003,141.675091251659
South Africa,Domestic credit provided by financial sector (% of GDP),2004,149.374121202855
South Africa,Domestic credit provided by financial sector (% of GDP),2005,157.68201084804
South Africa,Domestic credit provided by financial sector (% of GDP),2006,170.529506979493
South Africa,Domestic credit provided by financial sector (% of GDP),2007,171.421418831413
South Africa,Domestic credit provided by financial sector (% of GDP),2008,150.769179058375
South Africa,Domestic credit provided by financial sector (% of GDP),2009,152.966530237752
South Africa,Domestic credit provided by financial sector (% of GDP),2010,152.804989635333
South Africa,Domestic credit provided by financial sector (% of GDP),2011,144.136406225557
South Africa,Domestic credit provided by financial sector (% of GDP),2012,152.510513087838
South Africa,Domestic credit provided by financial sector (% of GDP),2013,152.640654599998
South Africa,Domestic credit provided by financial sector (% of GDP),2014,156.043254004326
South Africa,Domestic credit provided by financial sector (% of GDP),2015,150.184488783904
South Africa,Domestic credit provided by financial sector (% of GDP),2016,150.628596756032
South Africa,Domestic credit provided by financial sector (% of GDP),2017,153.868170750507
South Africa,Domestic credit provided by financial sector (% of GDP),2018,145.581293088401
South Africa,Domestic credit provided by financial sector (% of GDP),2019,145.392455039786
South Africa,Domestic credit provided by financial sector (% of GDP),2020,140.13928784525
South Africa,Domestic credit provided by financial sector (% of GDP),2021,121.981817511465
South Africa,Domestic credit provided by financial sector (% of GDP),2022,119.502900950721
