Country or Area,Item,Year,Value
South Africa,Domestic credit to private sector by banks (% of GDP),1985,48.1129271399634
South Africa,Domestic credit to private sector by banks (% of GDP),1986,45.0031321218485
South Africa,Domestic credit to private sector by banks (% of GDP),1987,44.1323581785805
South Africa,Domestic credit to private sector by banks (% of GDP),1988,46.7806318425639
South Africa,Domestic credit to private sector by banks (% of GDP),1989,46.690961378994
South Africa,Domestic credit to private sector by banks (% of GDP),1990,46.5704311510547
South Africa,Domestic credit to private sector by banks (% of GDP),1992,50.5536587286249
South Africa,Domestic credit to private sector by banks (% of GDP),1993,48.9701275535775
South Africa,Domestic credit to private sector by banks (% of GDP),1994,51.0149988505045
South Africa,Domestic credit to private sector by banks (% of GDP),1995,52.0325201852862
South Africa,Domestic credit to private sector by banks (% of GDP),1996,54.2164261047041
South Africa,Domestic credit to private sector by banks (% of GDP),1997,55.8514210825311
South Africa,Domestic credit to private sector by banks (% of GDP),1998,59.8462835331054
South Africa,Domestic credit to private sector by banks (% of GDP),1999,59.7563704950281
South Africa,Domestic credit to private sector by banks (% of GDP),2000,60.5060286182793
South Africa,Domestic credit to private sector by banks (% of GDP),2001,66.7849346783805
South Africa,Domestic credit to private sector by banks (% of GDP),2002,50.124844442117
South Africa,Domestic credit to private sector by banks (% of GDP),2003,54.0590200178425
South Africa,Domestic credit to private sector by banks (% of GDP),2004,55.8545721603873
South Africa,Domestic credit to private sector by banks (% of GDP),2005,58.8079522003948
South Africa,Domestic credit to private sector by banks (% of GDP),2006,65.8170728868808
South Africa,Domestic credit to private sector by banks (% of GDP),2007,70.3818820266591
South Africa,Domestic credit to private sector by banks (% of GDP),2008,69.5641201588549
South Africa,Domestic credit to private sector by banks (% of GDP),2009,66.946505312107
South Africa,Domestic credit to private sector by banks (% of GDP),2010,63.2695719815242
South Africa,Domestic credit to private sector by banks (% of GDP),2011,61.4224875923479
South Africa,Domestic credit to private sector by banks (% of GDP),2012,62.6147410751286
South Africa,Domestic credit to private sector by banks (% of GDP),2013,61.5563527705302
South Africa,Domestic credit to private sector by banks (% of GDP),2014,61.7305341275616
South Africa,Domestic credit to private sector by banks (% of GDP),2015,62.5138381250989
South Africa,Domestic credit to private sector by banks (% of GDP),2016,60.9974621907184
South Africa,Domestic credit to private sector by banks (% of GDP),2017,60.0845136811426
South Africa,Domestic credit to private sector by banks (% of GDP),2018,59.7411957031523
South Africa,Domestic credit to private sector by banks (% of GDP),2019,60.2217376058652
South Africa,Domestic credit to private sector by banks (% of GDP),2020,61.8754321173734
South Africa,Domestic credit to private sector by banks (% of GDP),2021,57.8907720257963
South Africa,Domestic credit to private sector by banks (% of GDP),2022,58.673666206249
