Country or Area,Item,Year,Value
South Africa,Domestic credit to private sector (% of GDP),1985,65.1976903639869
South Africa,Domestic credit to private sector (% of GDP),1986,64.8573840518321
South Africa,Domestic credit to private sector (% of GDP),1987,65.2254133808191
South Africa,Domestic credit to private sector (% of GDP),1988,66.7533461935462
South Africa,Domestic credit to private sector (% of GDP),1989,69.1407928862542
South Africa,Domestic credit to private sector (% of GDP),1990,71.9381989225056
South Africa,Domestic credit to private sector (% of GDP),1992,90.9830767248599
South Africa,Domestic credit to private sector (% of GDP),1993,95.8282557245959
South Africa,Domestic credit to private sector (% of GDP),1994,101.058603173147
South Africa,Domestic credit to private sector (% of GDP),1995,105.007084387737
South Africa,Domestic credit to private sector (% of GDP),1996,105.543868603211
South Africa,Domestic credit to private sector (% of GDP),1997,102.365461231743
South Africa,Domestic credit to private sector (% of GDP),1998,103.718943195112
South Africa,Domestic credit to private sector (% of GDP),1999,118.174400475191
South Africa,Domestic credit to private sector (% of GDP),2000,117.095366481502
South Africa,Domestic credit to private sector (% of GDP),2001,121.069745626228
South Africa,Domestic credit to private sector (% of GDP),2002,97.3173728340893
South Africa,Domestic credit to private sector (% of GDP),2003,102.767701183828
South Africa,Domestic credit to private sector (% of GDP),2004,112.820913420211
South Africa,Domestic credit to private sector (% of GDP),2005,122.283168033262
South Africa,Domestic credit to private sector (% of GDP),2006,139.007367744321
South Africa,Domestic credit to private sector (% of GDP),2007,142.422045511185
South Africa,Domestic credit to private sector (% of GDP),2008,125.955880255506
South Africa,Domestic credit to private sector (% of GDP),2009,121.094546324717
South Africa,Domestic credit to private sector (% of GDP),2010,124.093899905646
South Africa,Domestic credit to private sector (% of GDP),2011,118.970675992703
South Africa,Domestic credit to private sector (% of GDP),2012,125.167785450237
South Africa,Domestic credit to private sector (% of GDP),2013,127.029272479725
South Africa,Domestic credit to private sector (% of GDP),2014,128.838374779653
South Africa,Domestic credit to private sector (% of GDP),2015,127.203244242731
South Africa,Domestic credit to private sector (% of GDP),2016,124.360496111764
South Africa,Domestic credit to private sector (% of GDP),2017,127.030283858067
South Africa,Domestic credit to private sector (% of GDP),2018,118.380857963384
South Africa,Domestic credit to private sector (% of GDP),2019,117.185556862452
South Africa,Domestic credit to private sector (% of GDP),2020,108.952583986206
South Africa,Domestic credit to private sector (% of GDP),2021,93.1761303948048
South Africa,Domestic credit to private sector (% of GDP),2022,92.234041100465
