Country or Area,Item,Year,Value
South Africa,"External debt stocks, long-term (DOD, current US$)",1994,13035024059.0
South Africa,"External debt stocks, long-term (DOD, current US$)",1995,14771655821.1
South Africa,"External debt stocks, long-term (DOD, current US$)",1996,14334474379.0
South Africa,"External debt stocks, long-term (DOD, current US$)",1997,19291392969.6
South Africa,"External debt stocks, long-term (DOD, current US$)",1998,14570665566.3
South Africa,"External debt stocks, long-term (DOD, current US$)",1999,14602391673.6
South Africa,"External debt stocks, long-term (DOD, current US$)",2000,16828137773.6
South Africa,"External debt stocks, long-term (DOD, current US$)",2001,17048275707.7
South Africa,"External debt stocks, long-term (DOD, current US$)",2002,26746421961.1
South Africa,"External debt stocks, long-term (DOD, current US$)",2003,28589852329.9
South Africa,"External debt stocks, long-term (DOD, current US$)",2004,30122179260.0
South Africa,"External debt stocks, long-term (DOD, current US$)",2005,27215217305.8
South Africa,"External debt stocks, long-term (DOD, current US$)",2006,33214364427.2
South Africa,"External debt stocks, long-term (DOD, current US$)",2007,43235042152.2
South Africa,"External debt stocks, long-term (DOD, current US$)",2008,42531646803.6
South Africa,"External debt stocks, long-term (DOD, current US$)",2009,52393780509.2
South Africa,"External debt stocks, long-term (DOD, current US$)",2010,80499362957.7
South Africa,"External debt stocks, long-term (DOD, current US$)",2011,92076137062.7
South Africa,"External debt stocks, long-term (DOD, current US$)",2012,108733913609.8
South Africa,"External debt stocks, long-term (DOD, current US$)",2013,102647602697.3
South Africa,"External debt stocks, long-term (DOD, current US$)",2014,104282133981.5
South Africa,"External debt stocks, long-term (DOD, current US$)",2015,88243335822.5
South Africa,"External debt stocks, long-term (DOD, current US$)",2016,104447938882.3
South Africa,"External debt stocks, long-term (DOD, current US$)",2017,131584936234.1
South Africa,"External debt stocks, long-term (DOD, current US$)",2018,129832621096.8
South Africa,"External debt stocks, long-term (DOD, current US$)",2019,143773034766.8
South Africa,"External debt stocks, long-term (DOD, current US$)",2020,131373970391.8
South Africa,"External debt stocks, long-term (DOD, current US$)",2021,122283833576.9
South Africa,"External debt stocks, long-term (DOD, current US$)",2022,118855452527.5
