Country or Area,Item,Year,Value
South Africa,External debt stocks (% of GNI),1994,14.3430112992824
South Africa,External debt stocks (% of GNI),1995,15.0170695489257
South Africa,External debt stocks (% of GNI),1996,16.2687611496114
South Africa,External debt stocks (% of GNI),1997,18.4812481915831
South Africa,External debt stocks (% of GNI),1998,17.3639916238851
South Africa,External debt stocks (% of GNI),1999,17.3421004881215
South Africa,External debt stocks (% of GNI),2000,17.9488438094943
South Africa,External debt stocks (% of GNI),2001,19.5001299531834
South Africa,External debt stocks (% of GNI),2002,27.7913348185499
South Africa,External debt stocks (% of GNI),2003,20.8473533430208
South Africa,External debt stocks (% of GNI),2004,17.499891670399
South Africa,External debt stocks (% of GNI),2005,15.8817076026059
South Africa,External debt stocks (% of GNI),2006,19.3968431263798
South Africa,External debt stocks (% of GNI),2007,22.519077312783
South Africa,External debt stocks (% of GNI),2008,24.1786295037814
South Africa,External debt stocks (% of GNI),2009,26.112601001907
South Africa,External debt stocks (% of GNI),2010,28.1800559318895
South Africa,External debt stocks (% of GNI),2011,27.7414231921247
South Africa,External debt stocks (% of GNI),2012,34.9360348114713
South Africa,External debt stocks (% of GNI),2013,36.2068137000957
South Africa,External debt stocks (% of GNI),2014,40.1667158742941
South Africa,External debt stocks (% of GNI),2015,37.7078002750993
South Africa,External debt stocks (% of GNI),2016,45.6869077355498
South Africa,External debt stocks (% of GNI),2017,47.189634345937
South Africa,External debt stocks (% of GNI),2018,45.7386176540485
South Africa,External debt stocks (% of GNI),2019,50.2455129135251
South Africa,External debt stocks (% of GNI),2020,52.7323468977475
South Africa,External debt stocks (% of GNI),2021,41.1168746672165
South Africa,External debt stocks (% of GNI),2022,43.3792434144384
