Country or Area,Item,Year,Value
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",1994,5246000000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",1995,4935000000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",1996,3987000000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",1997,2413000000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",1998,2640916000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",1999,5221446000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2000,6507359000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2001,8030933000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2002,10599184000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2003,10420298000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2004,12324015000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2005,8846954000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2006,15420510000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2007,25378224000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2008,21001414000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2009,29051384000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2010,44170000000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2011,47780338000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2012,47597750000.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2013,42579409230.0
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2014,41622134364.5
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2015,34333389224.9
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2016,34765533566.3
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2017,40953521244.9
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2018,41165781598.1
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2019,41719419888.2
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2020,31938744348.7
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2021,27105874809.2
South Africa,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",2022,27238935000.0
