Country or Area,Item,Year,Value
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1994,7789024059.0
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1995,9836655821.1
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1996,10347474379.0
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1997,16878392969.6
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1998,11929749566.3
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1999,9380945673.6
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2000,10320778773.6
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2001,9017342707.7
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2002,16147237961.1
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2003,18169554329.9
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2004,17798164260.0
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2005,18368263305.8
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2006,17793854427.2
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2007,17856818152.2
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2008,21530232803.6
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2009,23342396509.2
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2010,36329362957.7
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2011,44295799062.7
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2012,61136163609.8
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2013,60068193467.3
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2014,62659999617.0
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2015,53909946597.6
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2016,69682405316.0
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2017,90631414989.2
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2018,88666839498.7
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2019,102053614878.6
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2020,99435226043.1
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2021,95177958767.7
South Africa,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",2022,91616517527.5
