Country or Area,Item,Year,Value
South Africa,"External debt stocks, short-term (DOD, current US$)",1994,7739000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",1995,9673000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",1996,10832000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",1997,10928000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",1998,11444000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",1999,10815000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2000,9553000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2001,8355000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2002,8054000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2003,11195000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2004,13547049696.3
South Africa,"External debt stocks, short-term (DOD, current US$)",2005,17562071463.5
South Africa,"External debt stocks, short-term (DOD, current US$)",2006,24397000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2007,29223000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2008,31403000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2009,29184000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2010,32073000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2011,29320000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2012,36482000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2013,36242000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2014,42449000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2015,37024000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2016,37200000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2017,40886000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2018,47868200000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2019,44496000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2020,37077000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2021,36292000000.0
South Africa,"External debt stocks, short-term (DOD, current US$)",2022,42949000000.0
