Country or Area,Item,Year,Value
South Africa,"External debt stocks, total (DOD, current US$)",1994,21670999666.0
South Africa,"External debt stocks, total (DOD, current US$)",1995,25357999878.7
South Africa,"External debt stocks, total (DOD, current US$)",1996,26050000159.4
South Africa,"External debt stocks, total (DOD, current US$)",1997,30633902795.8
South Africa,"External debt stocks, total (DOD, current US$)",1998,26014665566.3
South Africa,"External debt stocks, total (DOD, current US$)",1999,25719837975.8
South Africa,"External debt stocks, total (DOD, current US$)",2000,26668247021.2
South Africa,"External debt stocks, total (DOD, current US$)",2001,25680208730.5
South Africa,"External debt stocks, total (DOD, current US$)",2002,35100005788.3
South Africa,"External debt stocks, total (DOD, current US$)",2003,40112300679.1
South Africa,"External debt stocks, total (DOD, current US$)",2004,44011450239.9
South Africa,"External debt stocks, total (DOD, current US$)",2005,45092242706.5
South Africa,"External debt stocks, total (DOD, current US$)",2006,57942874011.2
South Africa,"External debt stocks, total (DOD, current US$)",2007,72806266042.2
South Africa,"External debt stocks, total (DOD, current US$)",2008,74274060700.8
South Africa,"External debt stocks, total (DOD, current US$)",2009,84376757970.0
South Africa,"External debt stocks, total (DOD, current US$)",2010,115321955835.8
South Africa,"External debt stocks, total (DOD, current US$)",2011,124137231364.7
South Africa,"External debt stocks, total (DOD, current US$)",2012,147959953649.6
South Africa,"External debt stocks, total (DOD, current US$)",2013,141639140528.1
South Africa,"External debt stocks, total (DOD, current US$)",2014,149317852206.3
South Africa,"External debt stocks, total (DOD, current US$)",2015,127741439982.3
South Africa,"External debt stocks, total (DOD, current US$)",2016,144048128970.8
South Africa,"External debt stocks, total (DOD, current US$)",2017,175013606856.1
South Africa,"External debt stocks, total (DOD, current US$)",2018,180183961226.0
South Africa,"External debt stocks, total (DOD, current US$)",2019,190737952304.8
South Africa,"External debt stocks, total (DOD, current US$)",2020,175416994458.7
South Africa,"External debt stocks, total (DOD, current US$)",2021,169438155531.1
South Africa,"External debt stocks, total (DOD, current US$)",2022,172133201547.7
