Country or Area,Item,Year,Value
South Africa,Lending interest rate (%),1985,21.5
South Africa,Lending interest rate (%),1986,14.3333333333333
South Africa,Lending interest rate (%),1987,12.5
South Africa,Lending interest rate (%),1988,15.3333333333333
South Africa,Lending interest rate (%),1989,19.8333333333333
South Africa,Lending interest rate (%),1990,21.0
South Africa,Lending interest rate (%),1991,20.3125
South Africa,Lending interest rate (%),1992,18.9058333333333
South Africa,Lending interest rate (%),1993,16.1583333333333
South Africa,Lending interest rate (%),1994,15.5833333333333
South Africa,Lending interest rate (%),1995,17.8958333333333
South Africa,Lending interest rate (%),1996,19.5208333333333
South Africa,Lending interest rate (%),1997,20.0
South Africa,Lending interest rate (%),1998,21.7916666666667
South Africa,Lending interest rate (%),1999,18.0
South Africa,Lending interest rate (%),2000,14.5
South Africa,Lending interest rate (%),2001,13.7708333333333
South Africa,Lending interest rate (%),2002,15.75
South Africa,Lending interest rate (%),2003,14.9583333333333
South Africa,Lending interest rate (%),2004,11.2916666666667
South Africa,Lending interest rate (%),2005,10.625
South Africa,Lending interest rate (%),2006,11.1666666666667
South Africa,Lending interest rate (%),2007,13.1666666666667
South Africa,Lending interest rate (%),2008,15.125
South Africa,Lending interest rate (%),2009,11.7083333333333
South Africa,Lending interest rate (%),2010,9.83333333333333
South Africa,Lending interest rate (%),2011,9.0
South Africa,Lending interest rate (%),2012,8.75
South Africa,Lending interest rate (%),2013,8.5
South Africa,Lending interest rate (%),2014,9.125
South Africa,Lending interest rate (%),2015,9.41666666666667
South Africa,Lending interest rate (%),2016,10.4583333333333
South Africa,Lending interest rate (%),2017,10.375
South Africa,Lending interest rate (%),2018,10.0833333333333
South Africa,Lending interest rate (%),2019,10.125
South Africa,Lending interest rate (%),2020,7.70833333333333
South Africa,Lending interest rate (%),2021,7.04166666666667
South Africa,Lending interest rate (%),2022,8.79166666666667
