Country or Area,Item,Year,Value
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1990,0.486432324051109
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1991,0.509888806141961
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1992,0.553694492498536
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1993,0.533344145598159
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1994,0.527719900876451
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1995,0.560853041053791
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1996,0.50192266575906
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1997,0.497830389825999
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1998,0.443473154394573
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,1999,0.422968467634368
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2000,0.39754498127547
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2001,0.337845362203143
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2002,0.305767293276487
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2003,0.444533487553042
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2004,0.537602445991305
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2005,0.559118633805443
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2006,0.540256306567252
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2007,0.54728577288128
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2008,0.493905871179686
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2009,0.519904878449825
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2010,0.631038151447223
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2011,0.657835237572144
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2012,0.621937523904855
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2013,0.548389136626344
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2014,0.513269053442099
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2015,0.456224154663758
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2016,0.418009514113489
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2017,0.48173852082155
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2018,0.518018261870157
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2019,0.488995882365732
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2020,0.440420317834481
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2021,0.499106767892002
South Africa,Price level ratio of PPP conversion factor (GDP) to market exchange rate,2022,0.441367310278523
