Country or Area,Item,Year,Value
South Africa,Real interest rate (%),1985,4.61121837055306
South Africa,Real interest rate (%),1986,-1.99176655710085
South Africa,Real interest rate (%),1987,-2.04446707410394
South Africa,Real interest rate (%),1988,-0.0758087440880889
South Africa,Real interest rate (%),1989,2.35021610085894
South Africa,Real interest rate (%),1990,4.81141525707442
South Africa,Real interest rate (%),1991,4.02749326213876
South Africa,Real interest rate (%),1992,3.65413735758883
South Africa,Real interest rate (%),1993,2.46468782587434
South Africa,Real interest rate (%),1994,5.25546972667236
South Africa,Real interest rate (%),1995,6.36739524038955
South Africa,Real interest rate (%),1996,10.6448093668748
South Africa,Real interest rate (%),1997,10.9698989159021
South Africa,Real interest rate (%),1998,12.6910336213851
South Africa,Real interest rate (%),1999,10.3950669798212
South Africa,Real interest rate (%),2000,4.87058238653657
South Africa,Real interest rate (%),2001,5.53834143339361
South Africa,Real interest rate (%),2002,2.85418551575979
South Africa,Real interest rate (%),2003,8.04784838936569
South Africa,Real interest rate (%),2004,4.95038435886221
South Africa,Real interest rate (%),2005,4.76148920296545
South Africa,Real interest rate (%),2006,4.8103022796052
South Africa,Real interest rate (%),2007,4.54604566856025
South Africa,Real interest rate (%),2008,6.74515150291692
South Africa,Real interest rate (%),2009,2.80250897674705
South Africa,Real interest rate (%),2010,3.49095978979672
South Africa,Real interest rate (%),2011,3.27930122317635
South Africa,Real interest rate (%),2012,3.88287299810937
South Africa,Real interest rate (%),2013,2.50924549715633
South Africa,Real interest rate (%),2014,3.56702763012509
South Africa,Real interest rate (%),2015,3.66774283297157
South Africa,Real interest rate (%),2016,3.27825167845193
South Africa,Real interest rate (%),2017,4.64731548480765
South Africa,Real interest rate (%),2018,5.85618355755032
South Africa,Real interest rate (%),2019,5.26841565370594
South Africa,Real interest rate (%),2020,2.32640650646245
South Africa,Real interest rate (%),2021,0.508486044272039
South Africa,Real interest rate (%),2022,3.84899041480706
