Country or Area,Item,Year,Value
South Africa,"Current account balance (BoP, current US$)",1985,2261355818.81972
South Africa,"Current account balance (BoP, current US$)",1986,2765954425.45986
South Africa,"Current account balance (BoP, current US$)",1987,5104704864.42218
South Africa,"Current account balance (BoP, current US$)",1988,2533618988.8443
South Africa,"Current account balance (BoP, current US$)",1989,1497993501.86637
South Africa,"Current account balance (BoP, current US$)",1990,1551571060.83907
South Africa,"Current account balance (BoP, current US$)",1991,1399119919.33859
South Africa,"Current account balance (BoP, current US$)",1992,1980166934.35487
South Africa,"Current account balance (BoP, current US$)",1993,2803148534.3134
South Africa,"Current account balance (BoP, current US$)",1994,29620519.2570562
South Africa,"Current account balance (BoP, current US$)",1995,-2493247873.02849
South Africa,"Current account balance (BoP, current US$)",1996,-1678190241.8336
South Africa,"Current account balance (BoP, current US$)",1997,-2227357021.24976
South Africa,"Current account balance (BoP, current US$)",1998,-2199125544.60138
South Africa,"Current account balance (BoP, current US$)",1999,-675246561.695196
South Africa,"Current account balance (BoP, current US$)",2000,-190556634.77189
South Africa,"Current account balance (BoP, current US$)",2001,342639131.12158
South Africa,"Current account balance (BoP, current US$)",2002,1009383967.41918
South Africa,"Current account balance (BoP, current US$)",2003,-1541574878.82416
South Africa,"Current account balance (BoP, current US$)",2004,-6413747384.1101
South Africa,"Current account balance (BoP, current US$)",2005,-8015417922.76414
South Africa,"Current account balance (BoP, current US$)",2006,-12154724637.7929
South Africa,"Current account balance (BoP, current US$)",2007,-16193848408.8251
South Africa,"Current account balance (BoP, current US$)",2008,-16395139537.1097
South Africa,"Current account balance (BoP, current US$)",2009,-7863255557.70191
South Africa,"Current account balance (BoP, current US$)",2010,-5421631418.05703
South Africa,"Current account balance (BoP, current US$)",2011,-9254146535.69638
South Africa,"Current account balance (BoP, current US$)",2012,-20346176599.8459
South Africa,"Current account balance (BoP, current US$)",2013,-21400789698.6023
South Africa,"Current account balance (BoP, current US$)",2014,-18344938660.4379
South Africa,"Current account balance (BoP, current US$)",2015,-14944186632.1317
South Africa,"Current account balance (BoP, current US$)",2016,-8521994957.00948
South Africa,"Current account balance (BoP, current US$)",2017,-9056996805.89754
South Africa,"Current account balance (BoP, current US$)",2018,-12159926617.7368
South Africa,"Current account balance (BoP, current US$)",2019,-10200410538.59
South Africa,"Current account balance (BoP, current US$)",2020,6701380493.38919
South Africa,"Current account balance (BoP, current US$)",2021,15500460921.8416
South Africa,"Current account balance (BoP, current US$)",2022,-1697574274.8606
