Country or Area,Item,Year,Value
South Africa,Current account balance (% of GDP),1985,3.50818756883177
South Africa,Current account balance (% of GDP),1986,3.77065373212745
South Africa,Current account balance (% of GDP),1987,5.28788988004278
South Africa,Current account balance (% of GDP),1988,2.43671493279264
South Africa,Current account balance (% of GDP),1989,1.38631701458896
South Africa,Current account balance (% of GDP),1990,1.23093530701267
South Africa,Current account balance (% of GDP),1991,1.03482370495217
South Africa,Current account balance (% of GDP),1992,1.34745427194466
South Africa,Current account balance (% of GDP),1993,1.90438081566821
South Africa,Current account balance (% of GDP),1994,0.0192951572527624
South Africa,Current account balance (% of GDP),1995,-1.45179160612888
South Africa,Current account balance (% of GDP),1996,-1.0280828308777
South Africa,Current account balance (% of GDP),1997,-1.31813387872595
South Africa,Current account balance (% of GDP),1998,-1.43749682421619
South Africa,Current account balance (% of GDP),1999,-0.445657419944882
South Africa,Current account balance (% of GDP),2000,-0.125570459653347
South Africa,Current account balance (% of GDP),2001,0.253001084795547
South Africa,Current account balance (% of GDP),2002,0.781937464700481
South Africa,Current account balance (% of GDP),2003,-0.782449992267882
South Africa,Current account balance (% of GDP),2004,-2.50726120703613
South Africa,Current account balance (% of GDP),2005,-2.7747758989594
South Africa,Current account balance (% of GDP),2006,-4.00012427594728
South Africa,Current account balance (% of GDP),2007,-4.86189160706926
South Africa,Current account balance (% of GDP),2008,-5.18618108467679
South Africa,Current account balance (% of GDP),2009,-2.38458187361532
South Africa,Current account balance (% of GDP),2010,-1.29901805615596
South Africa,Current account balance (% of GDP),2011,-2.01967628513274
South Africa,Current account balance (% of GDP),2012,-4.68373643403848
South Africa,Current account balance (% of GDP),2013,-5.33837274756912
South Africa,Current account balance (% of GDP),2014,-4.81243259488483
South Africa,Current account balance (% of GDP),2015,-4.31028688643788
South Africa,Current account balance (% of GDP),2016,-2.63361451678798
South Africa,Current account balance (% of GDP),2017,-2.37436753187925
South Africa,Current account balance (% of GDP),2018,-3.00051939426316
South Africa,Current account balance (% of GDP),2019,-2.61999067485192
South Africa,Current account balance (% of GDP),2020,1.98094913796596
South Africa,Current account balance (% of GDP),2021,3.68955099307429
South Africa,Current account balance (% of GDP),2022,-0.418874013377546
