Country or Area,Item,Year,Value
South Africa,Export unit value index (2015 = 100),1985,46.0091044646
South Africa,Export unit value index (2015 = 100),1986,53.4128684014
South Africa,Export unit value index (2015 = 100),1987,65.0473545878
South Africa,Export unit value index (2015 = 100),1988,63.4608337442
South Africa,Export unit value index (2015 = 100),1989,59.2301114946
South Africa,Export unit value index (2015 = 100),1990,63.4608337442
South Africa,Export unit value index (2015 = 100),1991,62.931993463
South Africa,Export unit value index (2015 = 100),1992,62.931993463
South Africa,Export unit value index (2015 = 100),1993,60.287792057
South Africa,Export unit value index (2015 = 100),1994,62.4031531818
South Africa,Export unit value index (2015 = 100),1995,65.0473545878
South Africa,Export unit value index (2015 = 100),1996,60.8166323382
South Africa,Export unit value index (2015 = 100),1997,59.7589517758
South Africa,Export unit value index (2015 = 100),1998,54.4705489638
South Africa,Export unit value index (2015 = 100),1999,52.8840281202
South Africa,Export unit value index (2015 = 100),2000,52.8840281202
South Africa,Export unit value index (2015 = 100),2001,50.6628989391
South Africa,Export unit value index (2015 = 100),2002,52.486763301
South Africa,Export unit value index (2015 = 100),2003,65.4509938363
South Africa,Export unit value index (2015 = 100),2004,78.4102906091
South Africa,Export unit value index (2015 = 100),2005,83.6637800733
South Africa,Export unit value index (2015 = 100),2006,91.6955029743
South Africa,Export unit value index (2015 = 100),2007,100.4065757399
South Africa,Export unit value index (2015 = 100),2008,109.9452004648
South Africa,Export unit value index (2015 = 100),2009,107.0866252422
South Africa,Export unit value index (2015 = 100),2010,131.3952891994
South Africa,Export unit value index (2015 = 100),2011,148.2138861877
South Africa,Export unit value index (2015 = 100),2012,138.7281974759
South Africa,Export unit value index (2015 = 100),2013,127.768669876
South Africa,Export unit value index (2015 = 100),2014,119.6944331346
South Africa,Export unit value index (2015 = 100),2015,100.0
South Africa,Export unit value index (2015 = 100),2016,95.3279513868
South Africa,Export unit value index (2015 = 100),2017,109.0770062838
South Africa,Export unit value index (2015 = 100),2018,113.1380272832
South Africa,Export unit value index (2015 = 100),2019,112.4153294384
South Africa,Export unit value index (2015 = 100),2020,112.1521894615
South Africa,Export unit value index (2015 = 100),2021,147.0688683404
