Country or Area,Item,Year,Value
South Africa,Export value index (2015 = 100),1985,20.1603786267
South Africa,Export value index (2015 = 100),1986,22.6856573738
South Africa,Export value index (2015 = 100),1987,26.2024058649
South Africa,Export value index (2015 = 100),1988,26.9302984834
South Africa,Export value index (2015 = 100),1989,27.338318343
South Africa,Export value index (2015 = 100),1990,29.0963222227
South Africa,Export value index (2015 = 100),1991,28.7394128704
South Africa,Export value index (2015 = 100),1992,28.9379290388
South Africa,Export value index (2015 = 100),1993,29.9028558862
South Africa,Export value index (2015 = 100),1994,31.2440745784
South Africa,Export value index (2015 = 100),1995,34.3855539525
South Africa,Export value index (2015 = 100),1996,36.0744003156
South Africa,Export value index (2015 = 100),1997,38.3039737998
South Africa,Export value index (2015 = 100),1998,32.5448595591
South Africa,Export value index (2015 = 100),1999,32.9707747585
South Africa,Export value index (2015 = 100),2000,37.01511737
South Africa,Export value index (2015 = 100),2001,36.1200781771
South Africa,Export value index (2015 = 100),2002,36.6941377963
South Africa,Export value index (2015 = 100),2003,45.0378783284
South Africa,Export value index (2015 = 100),2004,56.9685655667
South Africa,Export value index (2015 = 100),2005,63.733827341
South Africa,Export value index (2015 = 100),2006,71.8193027537
South Africa,Export value index (2015 = 100),2007,86.1510406528
South Africa,Export value index (2015 = 100),2008,99.7285506362
South Africa,Export value index (2015 = 100),2009,76.1422951281
South Africa,Export value index (2015 = 100),2010,112.7715981924
South Africa,Export value index (2015 = 100),2011,134.3357076224
South Africa,Export value index (2015 = 100),2012,122.9672544024
South Africa,Export value index (2015 = 100),2013,118.7050172722
South Africa,Export value index (2015 = 100),2014,114.8653538646
South Africa,Export value index (2015 = 100),2015,100.0
South Africa,Export value index (2015 = 100),2016,94.0895232971
South Africa,Export value index (2015 = 100),2017,109.8081052661
South Africa,Export value index (2015 = 100),2018,116.009504764
South Africa,Export value index (2015 = 100),2019,111.1276143588
South Africa,Export value index (2015 = 100),2020,105.9649545903
South Africa,Export value index (2015 = 100),2021,152.553728285
