Country or Area,Item,Year,Value
South Africa,Export volume index (2015 = 100),1985,43.8182374006
South Africa,Export volume index (2015 = 100),1986,42.4722694089
South Africa,Export volume index (2015 = 100),1987,40.2820468621
South Africa,Export volume index (2015 = 100),1988,42.4360930793
South Africa,Export volume index (2015 = 100),1989,46.1561149387
South Africa,Export volume index (2015 = 100),1990,45.849259303
South Africa,Export volume index (2015 = 100),1991,45.6674121997
South Africa,Export volume index (2015 = 100),1992,45.9828577472
South Africa,Export volume index (2015 = 100),1993,49.6001841493
South Africa,Export volume index (2015 = 100),1994,50.0681022923
South Africa,Export volume index (2015 = 100),1995,52.8623403093
South Africa,Export volume index (2015 = 100),1996,59.3166686801
South Africa,Export volume index (2015 = 100),1997,64.0974660017
South Africa,Export volume index (2015 = 100),1998,59.747625403
South Africa,Export volume index (2015 = 100),1999,62.3454300346
South Africa,Export volume index (2015 = 100),2000,69.9929991672
South Africa,Export volume index (2015 = 100),2001,71.2949297057
South Africa,Export volume index (2015 = 100),2002,69.9112223357
South Africa,Export volume index (2015 = 100),2003,68.8116034257
South Africa,Export volume index (2015 = 100),2004,72.6544502038
South Africa,Export volume index (2015 = 100),2005,76.1785174299
South Africa,Export volume index (2015 = 100),2006,78.3236913556
South Africa,Export volume index (2015 = 100),2007,85.802189732
South Africa,Export volume index (2015 = 100),2008,90.7075072028
South Africa,Export volume index (2015 = 100),2009,71.1034594469
South Africa,Export volume index (2015 = 100),2010,85.8262110493
South Africa,Export volume index (2015 = 100),2011,90.6363843766
South Africa,Export volume index (2015 = 100),2012,88.6389765212
South Africa,Export volume index (2015 = 100),2013,92.9062009953
South Africa,Export volume index (2015 = 100),2014,95.965493779
South Africa,Export volume index (2015 = 100),2015,100.0
South Africa,Export volume index (2015 = 100),2016,98.7008761808
South Africa,Export volume index (2015 = 100),2017,100.6702594694
South Africa,Export volume index (2015 = 100),2018,102.5380303514
South Africa,Export volume index (2015 = 100),2019,98.8545022049
South Africa,Export volume index (2015 = 100),2020,94.4831795929
South Africa,Export volume index (2015 = 100),2021,103.7294499933
