Country or Area,Item,Year,Value
South Africa,Exports as a capacity to import (constant LCU),1985,389928483522.589
South Africa,Exports as a capacity to import (constant LCU),1986,383766985239.852
South Africa,Exports as a capacity to import (constant LCU),1987,420631263085.322
South Africa,Exports as a capacity to import (constant LCU),1988,443702939843.437
South Africa,Exports as a capacity to import (constant LCU),1989,431698858448.676
South Africa,Exports as a capacity to import (constant LCU),1990,420703587906.429
South Africa,Exports as a capacity to import (constant LCU),1991,413989289038.263
South Africa,Exports as a capacity to import (constant LCU),1992,432286491467.789
South Africa,Exports as a capacity to import (constant LCU),1993,473175038722.856
South Africa,Exports as a capacity to import (constant LCU),1994,484560858040.663
South Africa,Exports as a capacity to import (constant LCU),1995,524120357099.948
South Africa,Exports as a capacity to import (constant LCU),1996,589322723389.948
South Africa,Exports as a capacity to import (constant LCU),1997,611330716199.433
South Africa,Exports as a capacity to import (constant LCU),1998,621974606239.767
South Africa,Exports as a capacity to import (constant LCU),1999,606705714293.907
South Africa,Exports as a capacity to import (constant LCU),2000,641700155284.391
South Africa,Exports as a capacity to import (constant LCU),2001,664380101811.068
South Africa,Exports as a capacity to import (constant LCU),2002,688004994932.63
South Africa,Exports as a capacity to import (constant LCU),2003,718034695426.874
South Africa,Exports as a capacity to import (constant LCU),2004,752078492864.155
South Africa,Exports as a capacity to import (constant LCU),2005,830575872029.008
South Africa,Exports as a capacity to import (constant LCU),2006,935417393439.671
South Africa,Exports as a capacity to import (constant LCU),2007,1039744945584.26
South Africa,Exports as a capacity to import (constant LCU),2008,1066654507641.49
South Africa,Exports as a capacity to import (constant LCU),2009,932284573867.205
South Africa,Exports as a capacity to import (constant LCU),2010,1065242622011.45
South Africa,Exports as a capacity to import (constant LCU),2011,1169813131634.28
South Africa,Exports as a capacity to import (constant LCU),2012,1127538116337.79
South Africa,Exports as a capacity to import (constant LCU),2013,1144128208446.61
South Africa,Exports as a capacity to import (constant LCU),2014,1161023046485.84
South Africa,Exports as a capacity to import (constant LCU),2015,1225162455400.0
South Africa,Exports as a capacity to import (constant LCU),2016,1249605290727.62
South Africa,Exports as a capacity to import (constant LCU),2017,1302966498629.09
South Africa,Exports as a capacity to import (constant LCU),2018,1316213060156.6
South Africa,Exports as a capacity to import (constant LCU),2019,1323651790846.77
South Africa,Exports as a capacity to import (constant LCU),2020,1272621309637.23
South Africa,Exports as a capacity to import (constant LCU),2021,1461627570910.98
South Africa,Exports as a capacity to import (constant LCU),2022,1434208670711.35
