Country or Area,Item,Year,Value
South Africa,Exports of goods and services (constant 2015 US$),1985,37065023881.0419
South Africa,Exports of goods and services (constant 2015 US$),1986,35697177409.8677
South Africa,Exports of goods and services (constant 2015 US$),1987,37356772569.3492
South Africa,Exports of goods and services (constant 2015 US$),1988,40408761871.8973
South Africa,Exports of goods and services (constant 2015 US$),1989,41290125248.0256
South Africa,Exports of goods and services (constant 2015 US$),1990,41110997827.5703
South Africa,Exports of goods and services (constant 2015 US$),1991,40475660159.8344
South Africa,Exports of goods and services (constant 2015 US$),1992,42698126377.3754
South Africa,Exports of goods and services (constant 2015 US$),1993,47129783784.4197
South Africa,Exports of goods and services (constant 2015 US$),1994,48301328923.118
South Africa,Exports of goods and services (constant 2015 US$),1995,53584240449.544
South Africa,Exports of goods and services (constant 2015 US$),1996,57444357266.6599
South Africa,Exports of goods and services (constant 2015 US$),1997,60486457112.1586
South Africa,Exports of goods and services (constant 2015 US$),1998,62449973115.2016
South Africa,Exports of goods and services (constant 2015 US$),1999,63237497078.5918
South Africa,Exports of goods and services (constant 2015 US$),2000,68494786027.4338
South Africa,Exports of goods and services (constant 2015 US$),2001,70133784553.005
South Africa,Exports of goods and services (constant 2015 US$),2002,70827606084.3719
South Africa,Exports of goods and services (constant 2015 US$),2003,70905003239.0379
South Africa,Exports of goods and services (constant 2015 US$),2004,72914258730.8932
South Africa,Exports of goods and services (constant 2015 US$),2005,79160981859.8195
South Africa,Exports of goods and services (constant 2015 US$),2006,85068576289.9292
South Africa,Exports of goods and services (constant 2015 US$),2007,91728013646.3097
South Africa,Exports of goods and services (constant 2015 US$),2008,93149643697.9931
South Africa,Exports of goods and services (constant 2015 US$),2009,77292015324.6489
South Africa,Exports of goods and services (constant 2015 US$),2010,83257419388.7395
South Africa,Exports of goods and services (constant 2015 US$),2011,85762171370.9836
South Africa,Exports of goods and services (constant 2015 US$),2012,86716130377.1558
South Africa,Exports of goods and services (constant 2015 US$),2013,89953221305.497
South Africa,Exports of goods and services (constant 2015 US$),2014,93233173166.9634
South Africa,Exports of goods and services (constant 2015 US$),2015,96085897668.3633
South Africa,Exports of goods and services (constant 2015 US$),2016,96477456202.4046
South Africa,Exports of goods and services (constant 2015 US$),2017,96213845053.852
South Africa,Exports of goods and services (constant 2015 US$),2018,98858055947.4601
South Africa,Exports of goods and services (constant 2015 US$),2019,95582979006.8074
South Africa,Exports of goods and services (constant 2015 US$),2020,84143740490.4774
South Africa,Exports of goods and services (constant 2015 US$),2021,91792049338.0356
South Africa,Exports of goods and services (constant 2015 US$),2022,98575189357.7851
