Country or Area,Item,Year,Value
South Africa,Exports of goods and services (constant LCU),1985,472605000000.0
South Africa,Exports of goods and services (constant LCU),1986,455164000000.0
South Africa,Exports of goods and services (constant LCU),1987,476325000000.0
South Africa,Exports of goods and services (constant LCU),1988,515240000000.0
South Africa,Exports of goods and services (constant LCU),1989,526478000000.0
South Africa,Exports of goods and services (constant LCU),1990,524194000000.0
South Africa,Exports of goods and services (constant LCU),1991,516093000000.0
South Africa,Exports of goods and services (constant LCU),1992,544431000000.0
South Africa,Exports of goods and services (constant LCU),1993,600937734100.0
South Africa,Exports of goods and services (constant LCU),1994,615875754700.0
South Africa,Exports of goods and services (constant LCU),1995,683236574700.0
South Africa,Exports of goods and services (constant LCU),1996,732455766200.0
South Africa,Exports of goods and services (constant LCU),1997,771244668700.0
South Africa,Exports of goods and services (constant LCU),1998,796280872200.0
South Africa,Exports of goods and services (constant LCU),1999,806322354000.0
South Africa,Exports of goods and services (constant LCU),2000,873356468200.0
South Africa,Exports of goods and services (constant LCU),2001,894254846700.0
South Africa,Exports of goods and services (constant LCU),2002,903101556900.0
South Africa,Exports of goods and services (constant LCU),2003,904088424800.0
South Africa,Exports of goods and services (constant LCU),2004,929707838800.0
South Africa,Exports of goods and services (constant LCU),2005,1009357931400.0
South Africa,Exports of goods and services (constant LCU),2006,1084683895700.0
South Africa,Exports of goods and services (constant LCU),2007,1169596383600.0
South Africa,Exports of goods and services (constant LCU),2008,1187723161900.0
South Africa,Exports of goods and services (constant LCU),2009,985527299800.0
South Africa,Exports of goods and services (constant LCU),2010,1061590377400.0
South Africa,Exports of goods and services (constant LCU),2011,1093527718500.0
South Africa,Exports of goods and services (constant LCU),2012,1105691363600.0
South Africa,Exports of goods and services (constant LCU),2013,1146966538900.0
South Africa,Exports of goods and services (constant LCU),2014,1188788221100.0
South Africa,Exports of goods and services (constant LCU),2015,1225162455400.0
South Africa,Exports of goods and services (constant LCU),2016,1230155100800.0
South Africa,Exports of goods and services (constant LCU),2017,1226793874128.15
South Africa,Exports of goods and services (constant LCU),2018,1260509413969.28
South Africa,Exports of goods and services (constant LCU),2019,1218749890422.1
South Africa,Exports of goods and services (constant LCU),2020,1072891591871.93
South Africa,Exports of goods and services (constant LCU),2021,1170412883494.49
South Africa,Exports of goods and services (constant LCU),2022,1256902666944.31
